,source,target,weight
0,Gordon Stoltski,Intruder,132
1,Mike,Mr. Mackey,3
2,Cartman,Mike,1
3,Casey,Mike,1
4,Cartman,Mr. Mackey,23
5,Casey,Mr. Mackey,11
6,Cartman,Casey,5
7,Butters,Cartman,45
8,Butters,Kyle,2
9,Cartman,Kyle,7
10,Cartman,Principal Victoria,20
11,Mr. Mackey,Principal Victoria,7
12,Cartman,Kindergartners,1
13,Ike,Kyle,1
14,Cartman,Ike,2
15,Butters,Wendy,24
16,Melvins,Wendy,4
17,Casey,Wendy,6
18,Butters,Melvins,5
19,Butters,Casey,5
20,Casey,Melvins,2
21,Cartman,Douglas,8
22,Butters,Douglas,5
23,Douglas,Stan,4
24,Cartman,Stan,32
25,Butters,Stan,20
26,Casey,Stan,4
27,Stan,Wendy,8
28,A Melvin,Butters,5
29,A Melvin,Casey,1
30,A Melvin,Melvins,1
31,A Melvin,Wendy,2
32,A Melvin,Mr. Testaburger,2
33,Butters,Mr. Testaburger,8
34,Mr. Testaburger,Wendy,4
35,Cartman,Wendy,65
36,A Boy,Wendy,5
37,A Boy,Cartman,6
