,source,target,weight
0,Butters,Cartman,30
1,Cartman,Jimmy,3
2,Cartman,Stan,68
3,Butters,Jimmy,12
4,Butters,Stan,76
5,Jimmy,Stan,20
6,Kyle,Stan,222
7,Cartman,Kyle,100
8,Butters,Kyle,116
9,Jimmy,Kyle,28
10,Butters,Water Tester,3
11,Kyle,Water Tester,11
12,Stan,Water Tester,7
13,Cartman,Water Tester,9
14,Assistant,Water Tester,10
15,Assistant,Lawyer,4
16,Lawyer,Water Tester,10
17,Randy,Water Tester,38
18,Randy,Sharon,5
19,Sharon,Water Tester,2
20,Cartman,Teacher,21
21,Audience,Teacher,3
22,Audience,Cartman,7
23,Kyle,Randy,4
24,Jimmy,Randy,1
25,Butters,Randy,2
26,Randy,Stan,1
