,source,target,weight
0,Elin,Tiger,23
1,Cartman,Stan,22
2,Stan,Tiger,8
3,Elin,Stan,12
4,Kenny,Stan,1
5,Kyle,Stan,1
6,Cartman,Tiger,16
7,Cartman,Elin,16
8,Cartman,Kenny,5
9,Cartman,Kyle,5
10,Kenny,Tiger,2
11,Kyle,Tiger,2
12,Elin,Kenny,1
13,Elin,Kyle,1
14,Kenny,Kyle,14
15,Kenny,The class,2
16,Kyle,The class,2
17,Butters,The class,4
18,Butters,Kenny,17
19,Butters,Kyle,43
20,Chairman,Dr. Tonton,10
21,Dr. Tonton,Randy,1
22,Dr. Tonton,Mrs. McCormick,1
23,Chairman,Randy,4
24,Chairman,Mrs. McCormick,4
25,Mrs. McCormick,Randy,1
26,Kyle,Priest,5
27,Butters,Priest,4
28,Announcer,Elin,4
29,Announcer,Tiger,2
30,Announcer,Stan,8
31,Announcer,Cartman,8
32,David Letterman,Therapist,11
33,Bill Clinton,David Letterman,4
34,Charlie Sheen,David Letterman,1
35,David Letterman,Kyle,4
36,David Letterman,The men,1
37,Butters,David Letterman,2
38,Ben Roethlisberger,David Letterman,1
39,David Duchovny,David Letterman,1
40,Bill Clinton,Therapist,23
41,Charlie Sheen,Therapist,6
42,Kyle,Therapist,28
43,The men,Therapist,6
44,Butters,Therapist,15
45,Ben Roethlisberger,Therapist,6
46,David Duchovny,Therapist,6
47,Bill Clinton,Charlie Sheen,3
48,Bill Clinton,Kyle,8
49,Bill Clinton,The men,3
50,Bill Clinton,Butters,6
51,Ben Roethlisberger,Bill Clinton,3
52,Bill Clinton,David Duchovny,3
53,Charlie Sheen,Kyle,2
54,Charlie Sheen,The men,1
55,Butters,Charlie Sheen,2
56,Ben Roethlisberger,Charlie Sheen,1
57,Charlie Sheen,David Duchovny,1
58,Kyle,The men,2
59,Ben Roethlisberger,Kyle,2
60,David Duchovny,Kyle,2
61,Butters,The men,2
62,Ben Roethlisberger,The men,1
63,David Duchovny,The men,1
64,Ben Roethlisberger,Butters,2
65,Butters,David Duchovny,2
66,Ben Roethlisberger,David Duchovny,1
67,The other men,Tiger Woods,1
68,Therapist,Tiger Woods,5
69,Michael Douglas,Tiger Woods,1
70,The Men,Tiger Woods,1
71,Ben Rothlisberger,Tiger Woods,1
72,David Letterman,Tiger Woods,1
73,Kyle,Tiger Woods,2
74,Bill Clinton,Tiger Woods,1
75,The other men,Therapist,5
76,Michael Douglas,The other men,1
77,The Men,The other men,1
78,Ben Rothlisberger,The other men,1
79,David Letterman,The other men,1
80,Kyle,The other men,2
81,Bill Clinton,The other men,1
82,Michael Douglas,Therapist,5
83,The Men,Therapist,5
84,Ben Rothlisberger,Therapist,5
85,Michael Douglas,The Men,1
86,Ben Rothlisberger,Michael Douglas,1
87,David Letterman,Michael Douglas,1
88,Kyle,Michael Douglas,2
89,Bill Clinton,Michael Douglas,1
90,Ben Rothlisberger,The Men,1
91,David Letterman,The Men,1
92,Kyle,The Men,2
93,Bill Clinton,The Men,1
94,Ben Rothlisberger,David Letterman,1
95,Ben Rothlisberger,Kyle,2
96,Ben Rothlisberger,Bill Clinton,1
97,Chairman,Obama,53
98,Chairman,Secret Service Agent,1
99,Obama,Secret Service Agent,3
100,Chairman,Therapist,6
101,Obama,Therapist,5
102,Dr. Tonton,Therapist,1
103,Chairman,Kyle,18
104,Kyle,Obama,15
105,Dr. Tonton,Kyle,3
106,Dr. Tonton,Obama,5
107,Another addict,David Letterman,1
108,News 4 Reporter,Randy,1
109,Kyle,Randy,1
110,Butters,Randy,1
111,Kyle,News 4 Reporter,1
112,Butters,News 4 Reporter,1
