,source,target,weight
0,Cartman,Kyle,12
1,Cartman,Stan,28
2,Cartman,Tour Guide,4
3,Butters,Cartman,8
4,Cartman,Tom Cruise,65
5,Cartman,Mr. Garrison,12
6,Kyle,Stan,47
7,Kyle,Tour Guide,3
8,Butters,Kyle,6
9,Kyle,Tom Cruise,33
10,Kyle,Mr. Garrison,7
11,Stan,Tour Guide,7
12,Butters,Stan,14
13,Stan,Tom Cruise,82
14,Mr. Garrison,Stan,21
15,Butters,Tour Guide,2
16,Tom Cruise,Tour Guide,8
17,Mr. Garrison,Tour Guide,1
18,Butters,Tom Cruise,16
19,Butters,Mr. Garrison,2
20,Mr. Garrison,Tom Cruise,8
21,Bono,Tiger Woods,1
22,Tiger Woods,Tom Cruise,3
23,Sally Struthers,Tiger Woods,1
24,George Lucas,Tiger Woods,1
25,Paris Hilton,Tiger Woods,1
26,All Celebrities,Tiger Woods,1
27,Jared Fogle,Tiger Woods,1
28,Bono,Tom Cruise,3
29,Bono,Sally Struthers,1
30,Bono,George Lucas,1
31,Bono,Paris Hilton,1
32,All Celebrities,Bono,1
33,Bono,Jared Fogle,1
34,Sally Struthers,Tom Cruise,3
35,George Lucas,Tom Cruise,3
36,Paris Hilton,Tom Cruise,3
37,All Celebrities,Tom Cruise,3
38,Jared Fogle,Tom Cruise,3
39,George Lucas,Sally Struthers,1
40,Paris Hilton,Sally Struthers,1
41,All Celebrities,Sally Struthers,1
42,Jared Fogle,Sally Struthers,1
43,George Lucas,Paris Hilton,1
44,All Celebrities,George Lucas,1
45,George Lucas,Jared Fogle,1
46,All Celebrities,Paris Hilton,1
47,Jared Fogle,Paris Hilton,1
48,All Celebrities,Jared Fogle,1
49,Principal Victoria,Stan,4
50,Mayor,Principal Victoria,2
51,Mr. Mackey,Principal Victoria,2
52,Gerald,Principal Victoria,2
53,Principal Victoria,Sgt. Yates,2
54,Principal Victoria,Randy,2
55,Mayor,Stan,8
56,Mr. Mackey,Stan,6
57,Gerald,Stan,6
58,Sgt. Yates,Stan,16
59,Randy,Stan,31
60,Mayor,Mr. Mackey,1
61,Gerald,Mayor,4
62,Mayor,Sgt. Yates,3
63,Mayor,Randy,13
64,Gerald,Mr. Mackey,1
65,Mr. Mackey,Sgt. Yates,3
66,Mr. Mackey,Randy,2
67,Gerald,Sgt. Yates,2
68,Gerald,Randy,9
69,Randy,Sgt. Yates,7
70,Randy,Tom Cruise,110
71,Mr. Garrison,Stephen,3
72,Mr. Garrison,Mr. Mackey,3
73,Mr. Garrison,Sgt. Yates,7
74,McDaniels,Mr. Garrison,3
75,Mr. Garrison,Randy,7
76,Jimbo,Mr. Garrison,4
77,Kyle,Stephen,1
