,source,target,weight
0,Kyle,Stan,3
1,Butters,Stan,4
2,Butters,Kyle,13
3,Jimmy,Timmy,6
4,Francis,Timmy,3
5,Specialist 1,Timmy,2
6,Specialist 2,Timmy,2
7,Francis,Jimmy,1
8,Jimmy,Specialist 1,2
9,Jimmy,Specialist 2,1
10,Francis,Specialist 1,1
11,Francis,Specialist 2,1
12,Specialist 1,Specialist 2,1
13,Stan,Towelie,11
14,Specialist 3,Towelie,11
15,Kyle,Towelie,28
16,Jimmy,Towelie,6
17,Blue Team,Towelie,6
18,Timmy,Towelie,3
19,Specialist 3,Stan,3
20,Jimmy,Stan,2
21,Blue Team,Stan,2
22,Stan,Timmy,1
23,Kyle,Specialist 3,2
24,Jimmy,Specialist 3,4
25,Blue Team,Specialist 3,4
26,Specialist 3,Timmy,2
27,Jimmy,Kyle,2
28,Blue Team,Kyle,2
29,Kyle,Timmy,1
30,Blue Team,Jimmy,4
31,Blue Team,Timmy,2
32,Mimsy,Nathan,113
33,Lenora,Towelie,10
34,Lenora,Specialist 3,2
35,Lenora,Stan,2
36,Butters,Lenora,2
37,Butters,Towelie,28
38,Butters,Specialist 3,1
39,Nathan,Specialist 4,10
40,Mimsy,Specialist 4,6
41,All,Nathan,4
42,All,Jimmy,1
43,All,Specialist 1,1
44,All,Mimsy,1
45,Jimmy,Nathan,30
46,Nathan,Specialist 1,4
47,Jimmy,Mimsy,27
48,Mimsy,Specialist 1,1
49,Steve,Towelie,1
50,Kyle,Specialist 1,1
51,Specialist 1,Towelie,1
52,Nathan,Timmy,6
53,Mimsy,Timmy,8
54,Steve,Timmy,1
55,Francis,Nathan,5
56,Francis,Mimsy,5
57,Francis,Steve,1
58,Nathan,Steve,5
59,Mimsy,Steve,5
60,Jeff Van Vonderen,Towelie,45
61,Butters,Jeff Van Vonderen,23
62,Jeff Van Vonderen,Kyle,48
63,Cartman,Jeff Van Vonderen,32
64,Cartman,Towelie,16
65,Butters,Cartman,8
66,Cartman,Kyle,24
67,Campers,Jimmy,20
68,Campers,Mimsy,5
69,Campers,Nathan,5
70,Jeff Van Vonderen,Stan,3
71,Jeff Van Vonderen,Towel,3
72,Stan,Towel,1
73,Towel,Towelie,3
74,Butters,Towel,1
