,source,target,weight
0,Gerald,Sheila,5
1,Gerald,Ike,3
2,Gerald,Kyle,4
3,Ike,Sheila,18
4,Kyle,Sheila,44
5,Ike,Kyle,16
6,Sharon,Teresa,23
7,Joe,Sharon,7
8,Randy,Sharon,9
9,Joe,Teresa,8
10,Randy,Teresa,3
11,Joe,Randy,2
12,Cartman,Kyle,111
13,Cartman,Stan,46
14,Cartman,Jersey Man,6
15,Kyle,Stan,39
16,Jersey Man,Kyle,2
17,Jersey Man,Stan,2
18,Jacqueline,Teresa,10
19,Caroline,Teresa,14
20,Salon Girl,Teresa,6
21,Caroline,Jacqueline,7
22,Jacqueline,Salon Girl,3
23,Caroline,Salon Girl,4
24,Caroline,Sharon,9
25,Caroline,Sheila,9
26,Salon Girl,Sharon,3
27,Salon Girl,Sheila,3
28,Sheila,Teresa,12
29,Jacqueline,Sharon,6
30,Sharon,Sheila,10
31,Jacqueline,Sheila,6
32,Mr. Garrison,Randy,5
33,Jimbo,Mr. Garrison,2
34,Mr. Garrison,Sheila,1
35,Jimbo,Randy,13
36,Randy,Sheila,1
37,Jimbo,Sheila,2
38,Kenny,Kyle,8
39,Kenny,Stan,5
40,Cartman,Kenny,12
41,P-Train,Reporter,2
42,P-Train,Tan Jovi,4
43,Reporter,Tan Jovi,2
44,Randy,Schwarzenegger,9
45,Randy,Stuart,6
46,Mr. Garrison,Stuart,1
47,Stephen,Stuart,2
48,Randy,Stephen,14
49,Mr. Garrison,Stephen,2
50,Barbrady,Randy,3
51,Barbrady,Jimbo,1
52,Barbrady,Snooki,2
53,Barbrady,Stephen,2
54,Randy,Snooki,7
55,Jimbo,Snooki,2
56,Jimbo,Stephen,2
57,Snooki,Stephen,4
58,Butters,Cartman,12
59,Snooki,Stan,14
60,Cartman,Snooki,18
61,Kenny,Snooki,1
62,Kyle,Snooki,17
63,Randy,The Situation,18
64,Jimbo,The Situation,3
65,Gerald,The Situation,3
66,Sharon,The Situation,3
67,Jersey People,The Situation,3
68,Gerald,Randy,6
69,Jersey People,Randy,6
70,Gerald,Jimbo,1
71,Jimbo,Sharon,1
72,Jersey People,Jimbo,1
73,Gerald,Sharon,1
74,Gerald,Jersey People,1
75,Jersey People,Sharon,1
76,Butters,Snooki,3
77,Butters,Stan,4
78,Butters,Kyle,4
79,Jimbo,Stuart,1
