,source,target,weight
0,Butters,Cartman,16
1,Cartman,Liane,24
2,Cartman,Kyle,82
3,Cartman,Stan,80
4,Cartman,Sharon,24
5,Butters,Liane,6
6,Butters,Kyle,10
7,Butters,Stan,8
8,Butters,Sharon,6
9,Kyle,Liane,15
10,Liane,Stan,12
11,Liane,Sharon,9
12,Kyle,Stan,197
13,Kyle,Sharon,15
14,Sharon,Stan,18
15,Randy,Sharon,87
16,Kyle,Randy,8
17,Randy,Sheila,4
18,Randy,Stan,8
19,Gerald,Randy,8
20,Randy,The boys,4
21,Cartman,Randy,4
22,Kyle,Sheila,2
23,Gerald,Kyle,4
24,Kyle,The boys,2
25,Sheila,Stan,2
26,Gerald,Sheila,2
27,Sheila,The boys,1
28,Cartman,Sheila,1
29,Gerald,Stan,4
30,Stan,The boys,2
31,Gerald,The boys,2
32,Cartman,Gerald,2
33,Cartman,The boys,1
34,Doctor Caroll,Stan,100
35,Doctor  Caroll,Doctor Caroll,10
36,Doctor  Caroll,Stan,10
37,Bar Patron,Randy,1
38,Kenny,Kyle,18
39,Cartman,Kenny,9
40,Kenny,Stan,18
41,Randy,Steamy Nicks,2
42,Sharon,Steamy Nicks,1
43,Stan,Waitress,20
44,Kyle,Waitress,12
45,Cartman,Waitress,2
46,Announcer,Stan,2
47,Announcer,Cartman,1
48,Announcer,Kyle,1
