,source,target,weight
0,Big Harry,Mike,2
1,Cartman,Kenny,7
2,Cartman,Kyle,100
3,Kenny,Kyle,5
4,Butters,Mr. Garrison,6
5,Butters,Officer Barbrady,3
6,Butters,Cartman,11
7,Butters,Wendy,3
8,Butters,Stan,3
9,Mr. Garrison,Officer Barbrady,2
10,Cartman,Mr. Garrison,4
11,Mr. Garrison,Wendy,2
12,Mr. Garrison,Stan,2
13,Cartman,Officer Barbrady,2
14,Officer Barbrady,Wendy,1
15,Officer Barbrady,Stan,1
16,Cartman,Wendy,10
17,Cartman,Stan,30
18,Stan,Wendy,1
19,Mr. Mackey,Stan,4
20,Aide 1,Aide 2,1
21,Aide 2,Anchor,1
22,Aide 1,Anchor,1
23,Cartman,Nurse Bronski,49
24,Kyle,Wendy,14
25,Boy 1,Kyle,7
26,Boy 2,Kyle,7
27,Kyle,Riley,7
28,Boy 1,Wendy,2
29,Boy 2,Wendy,2
30,Riley,Wendy,2
31,Boy 1,Boy 2,1
32,Boy 1,Cartman,4
33,Boy 1,Riley,1
34,Boy 2,Cartman,4
35,Boy 2,Riley,1
36,Cartman,Riley,4
37,Mr. Mathers,Researcher,3
38,Martin,Mr. Mathers,1
39,Mr. Mathers,Sharon,1
40,Mr. Mathers,Neo,3
41,Morpheus,Mr. Mathers,7
42,Mr. Mathers,Stan,15
43,Martin,Researcher,3
44,Researcher,Sharon,3
45,Neo,Researcher,6
46,Morpheus,Researcher,12
47,Researcher,Stan,9
48,Martin,Sharon,1
49,Martin,Neo,2
50,Martin,Morpheus,4
51,Martin,Stan,3
52,Neo,Sharon,2
53,Morpheus,Sharon,4
54,Sharon,Stan,4
55,Morpheus,Neo,28
56,Neo,Stan,36
57,Morpheus,Stan,94
58,Cartman,Clyde,5
59,Clyde,Molly,1
60,Clyde,Kyle,2
61,Butters,Clyde,1
62,Cartman,Molly,5
63,Kyle,Molly,2
64,Butters,Molly,1
65,Butters,Kyle,2
66,Bald guy,Stan,6
67,Bald guy,Morpheus,5
68,Bald guy,Neo,1
69,Jill,Stan,1
70,Kyle,Stan,164
71,Bald Guy,Neo,3
72,Bald Guy,Stan,4
73,Bald Guy,Morpheus,4
74,KFC exec,Other execs,2
75,Other execs,Pizza Hut exec,2
76,McDonald's exec,Other execs,1
77,Other execs,Taco Bell exec,1
78,Burger King exec,Other execs,1
79,Other execs,Stan,1
80,KFC exec,Pizza Hut exec,4
81,KFC exec,McDonald's exec,2
82,KFC exec,Taco Bell exec,2
83,Burger King exec,KFC exec,2
84,KFC exec,Stan,2
85,McDonald's exec,Pizza Hut exec,2
86,Pizza Hut exec,Taco Bell exec,2
87,Burger King exec,Pizza Hut exec,2
88,Pizza Hut exec,Stan,2
89,McDonald's exec,Taco Bell exec,13
90,Burger King exec,McDonald's exec,1
91,McDonald's exec,Stan,91
92,Burger King exec,Taco Bell exec,1
93,Stan,Taco Bell exec,15
94,Burger King exec,Stan,1
95,Cartman,McDonald's exec,4
96,Cartman,Morpheus,3
97,Cartman,Neo,1
98,Cartman,Mr. Mathers,1
99,Cartman,Douglas,1
100,Kyle,McDonald's exec,28
101,Kyle,Morpheus,21
102,Kyle,Neo,7
103,Kyle,Mr. Mathers,7
104,Douglas,Kyle,7
105,Douglas,Stan,12
106,McDonald's exec,Morpheus,12
107,McDonald's exec,Neo,4
108,McDonald's exec,Mr. Mathers,4
109,Douglas,McDonald's exec,4
110,Douglas,Morpheus,3
111,Douglas,Neo,1
112,Douglas,Mr. Mathers,1
