,source,target,weight
0,Cartman,Liane,1
1,Butters,Stan,2
2,Kyle,Stan,10
3,Butters,Kyle,1
4,Cartman,Kyle,41
5,Clyde,Kyle,3
6,Kyle,Tolkien,4
7,Craig,Kyle,8
8,Jimmy,Kyle,3
9,Cartman,Stan,13
10,Cartman,Clyde,8
11,Cartman,Tolkien,10
12,Cartman,Craig,14
13,Cartman,Jimmy,8
14,Clyde,Stan,1
15,Stan,Tolkien,2
16,Craig,Stan,6
17,Jimmy,Stan,1
18,Clyde,Tolkien,1
19,Clyde,Craig,1
20,Clyde,Jimmy,1
21,Craig,Tolkien,3
22,Jimmy,Tolkien,1
23,Craig,Jimmy,1
24,Both,Butters,20
25,Butters,Singers,10
26,Both,Singers,8
27,Elderly man,Yimenez,2
28,Butters,Elderly man,2
29,Butters,Yimenez,4
30,Kyle,Mr. Geiger,3
31,Cartman,Mr. Geiger,4
32,Chris,Mr. Geiger,1
33,Chris,Kyle,3
34,Cartman,Chris,4
35,Butters,Crowd,2
36,Cartman,Marcus,10
37,Butters,President Calderón,2
38,Marcus,Other Officers,1
39,Butters,Marcus,4
40,Cartman,Other Officers,4
41,Butters,Other Officers,4
42,Butters,Cartman,18
43,Butters,Mexicans,2
44,Butters,Commentator,2
45,Cartman,Mexicans,1
46,Cartman,Commentator,1
47,Commentator,Mexicans,1
