,source,target,weight
0,Rick,Ron,1
1,Rick,Stan,4
2,Kyle,Rick,5
3,Butters,Rick,1
4,Cartman,Rick,1
5,Ron,Stan,2
6,Kyle,Ron,3
7,Butters,Ron,1
8,Cartman,Ron,1
9,Kyle,Stan,62
10,Butters,Stan,5
11,Cartman,Stan,71
12,Butters,Kyle,9
13,Cartman,Kyle,94
14,Butters,Cartman,13
15,Kenny,Kyle,21
16,Cartman,Kenny,20
17,Kenny,Stan,22
18,Butters,Kenny,3
19,Craig,Kenny,2
20,Craig,Kyle,4
21,Cartman,Craig,8
22,Craig,Stan,2
23,Butters,Craig,6
24,Butters,Kids,2
25,Cartman,Dad,5
26,Dad,Kyle,5
27,Dad,Doctor,1
28,Cartman,Doctor,5
29,Doctor,Kyle,5
30,Cartman,Mr. Kitty,18
31,Cartman,Kelly,6
32,Kyle,Mr. Kitty,9
33,Kelly,Kyle,3
34,Mr. Kitty,Stan,9
35,Kelly,Stan,3
36,Kelly,Mr. Kitty,3
37,Cat,Rick,10
38,Cat,Stan,5
39,Cat,Kyle,5
