,source,target,weight
0,Dan,Randy,28
1,Commentator,Dan,18
2,Dan,Goodell,6
3,Butters,Dan,12
4,Dan,Stan,12
5,Cartman,Dan,6
6,Dan,Kyle,6
7,Commentator,Randy,12
8,Goodell,Randy,6
9,Butters,Randy,23
10,Randy,Stan,50
11,Cartman,Randy,11
12,Kyle,Randy,4
13,Commentator,Goodell,3
14,Butters,Commentator,6
15,Commentator,Stan,6
16,Cartman,Commentator,3
17,Commentator,Kyle,3
18,Butters,Goodell,2
19,Goodell,Stan,2
20,Cartman,Goodell,1
21,Goodell,Kyle,1
22,Butters,Stan,33
23,Butters,Cartman,50
24,Butters,Kyle,19
25,Cartman,Stan,20
26,Kyle,Stan,15
27,Cartman,Kyle,10
28,Mr. Mackey,Randy,25
29,Mr. Adler,Randy,6
30,Linda,Randy,6
31,Mr. Adler,Mr. Mackey,3
32,Linda,Mr. Mackey,3
33,Linda,Mr. Adler,1
34,Principal Victoria,Randy,12
35,Butters,Principal Victoria,6
36,Anchor,Randy,1
37,Clyde,Stan,10
38,Cartman,Clyde,8
39,Butters,Clyde,15
40,Clyde,Kyle,7
41,Boys,Clyde,2
42,Boys,Stan,2
43,Boys,Cartman,6
44,Boys,Butters,10
45,Boys,Kyle,2
46,Announcer,Randy,4
47,Craig,Stan,4
48,Craig,Kyle,3
49,Clyde,Craig,2
50,Cartman,Craig,2
51,Butters,Craig,4
52,Butters,Red,1
53,Butters,Stephen,4
54,Randy,Sharon,61
55,Doctor,Randy,20
56,Doctor,Sharon,4
57,Butters,Voice-over,2
58,Singer,Voice-over,2
59,Butters,Singer,1
60,Sharon,Stan,24
61,Mr. Mackey,Stan,6
62,Mr. Mackey,Sharon,4
63,Butters,Sharon,4
64,Cartman,Sharon,4
65,Butters,Mr. Mackey,1
66,Cartman,Mr. Mackey,1
