,source,target,weight
0,Cartman,Stan,14
1,Kyle,Stan,9
2,Cartman,Kyle,14
3,Butters,Stan,5
4,Butters,Kyle,5
5,Butters,Cartman,10
6,Butters,Stephen,72
7,Linda,Stephen,22
8,Principal Victoria,Stephen,16
9,Butters,Linda,16
10,Butters,Principal Victoria,12
11,Linda,Principal Victoria,4
12,Kenny,Kyle,3
13,Cartman,Kenny,3
14,Kenny,Stan,2
15,Butters,Kenny,18
16,Butters,Teller,6
17,Kenny,Teller,8
18,Butters,Officer,10
19,Blond man,Officer,6
20,Officer,Older woman,2
21,Blond man,Butters,23
22,Butters,Older woman,5
23,Blond man,Older woman,3
24,Donna,Older man,4
25,Blond man,Older man,8
26,Butters,Older man,4
27,Older man,Patty,4
28,Brunet man,Older man,4
29,Chief,Older man,4
30,Blond man,Donna,2
31,Butters,Donna,1
32,Donna,Patty,1
33,Brunet man,Donna,1
34,Chief,Donna,1
35,Blond man,Patty,5
36,Blond man,Brunet man,2
37,Blond man,Chief,23
38,Butters,Patty,3
39,Brunet man,Butters,1
40,Butters,Chief,21
41,Brunet man,Patty,1
42,Chief,Patty,8
43,Brunet man,Chief,1
44,Chief,First Mate,2
45,Butters,First Mate,2
46,Chief,Kenny,2
47,Butters,Residents,4
48,Kenny,Residents,2
49,Butters,Canyoner,2
50,Butters,Captain,5
