,source,target,weight
0,Cartman,Lawrence,83
1,Cartman,Kyle,54
2,Cartman,Toby,31
3,Kyle,Lawrence,21
4,Lawrence,Toby,16
5,Kyle,Toby,13
6,Butters,Lawrence,2
7,Butters,Cartman,54
8,Butters,Toby,2
9,Butters,Kyle,2
10,Clyde,Kyle,4
11,Kyle,Stan,2
12,Alec Baldwin,Kyle,4
13,Cartman,Clyde,14
14,Cartman,Stan,7
15,Alec Baldwin,Cartman,28
16,Clyde,Stan,2
17,Alec Baldwin,Clyde,4
18,Alec Baldwin,Stan,2
19,Butters,Clerk,4
20,Clerk,Man,2
21,Butters,Man,2
22,Cartman,Receptionist,10
23,Cartman,Chief,11
24,Cartman,Patricia,5
25,Alec Baldwin,Receptionist,4
26,Chief,Receptionist,4
27,Patricia,Receptionist,2
28,Alec Baldwin,Chief,4
29,Alec Baldwin,Patricia,2
30,Chief,Patricia,2
31,Butters,Pamphleteer,56
32,Butters,Colleague,12
33,Colleague,Pamphleteer,14
34,Cartman,Detective,3
35,Cartman,Joe,6
36,Cartman,Miller,2
37,Cartman,Larson,2
38,Chief,Detective,3
39,Chief,Joe,6
40,Chief,Miller,2
41,Chief,Larson,2
42,Detective,Joe,18
43,Detective,Miller,6
44,Detective,Larson,6
45,Joe,Miller,12
46,Joe,Larson,12
47,Larson,Miller,4
48,Hippie,Joe,12
49,Alec Baldwin,Hippie,4
50,Alec Baldwin,Joe,3
51,Butters,Craig,42
52,Craig,Pamphleteer,12
53,Alec Baldwin,Date,1
54,Cartman,Date,4
55,Date,Jarvis,1
56,Alec Baldwin,Jarvis,1
57,Cartman,Jarvis,4
58,Barbrady,Clerk 2,6
59,Clerk 2,Group,6
60,Butters,Clerk 2,4
61,Clerk 2,Customer,2
62,Clerk 2,Larry,4
63,Clerk 2,Clerk 3,2
64,Barbrady,Group,9
65,Barbrady,Butters,6
66,Barbrady,Customer,3
67,Barbrady,Larry,6
68,Barbrady,Clerk 3,3
69,Butters,Group,8
70,Customer,Group,3
71,Group,Larry,7
72,Clerk 3,Group,3
73,Butters,Customer,2
74,Butters,Larry,6
75,Butters,Clerk 3,2
76,Customer,Larry,2
77,Clerk 3,Customer,1
78,Clerk 3,Larry,2
79,Cartman,Liane,25
80,Cartman,Group,2
81,Cartman,Paul,2
82,Cartman,Larry,2
83,Butters,Paul,2
84,Group,Paul,1
85,Larry,Paul,1
