,source,target,weight
0,Cartman,Wendy,30
1,Cartman,Mr. Garrison,5
2,Cartman,Peter,10
3,Butters,Cartman,10
4,Mr. Garrison,Wendy,5
5,Peter,Wendy,10
6,Butters,Wendy,7
7,Mr. Garrison,Peter,2
8,Butters,Mr. Garrison,1
9,Butters,Peter,2
10,Randy,Stan,12
11,Sharon,Stan,2
12,Randy,Sharon,22
13,Cartman,Stan,18
14,Mr. Hagen,Stan,1
15,Clyde,Red,1
16,Butters,Red,1
17,Red,Wendy,1
18,Cartman,Red,1
19,Kyle,Red,1
20,Butters,Clyde,2
21,Clyde,Wendy,2
22,Cartman,Clyde,5
23,Clyde,Kyle,2
24,Butters,Kyle,11
25,Kyle,Wendy,2
26,Cartman,Kyle,15
27,Mrs. Tweak,Randy,16
28,Mrs. Tweak,Stuart,2
29,Cable Guy,Mrs. Tweak,10
30,Mrs. Tweak,Stephen,6
31,Randy,Stuart,8
32,Cable Guy,Randy,40
33,Randy,Stephen,26
34,Cable Guy,Stuart,5
35,Stephen,Stuart,3
36,Cable Guy,Stephen,15
37,Corey,Randy,51
38,Gerald,Randy,14
39,Corey,Gerald,10
40,Kyle,Tweek,1
41,Craig,Kyle,2
42,Kyle,Stan,54
43,Craig,Tweek,1
44,Stan,Tweek,2
45,Cartman,Tweek,2
46,Craig,Stan,3
47,Cartman,Craig,6
48,Butters,Mr. Mackey,6
49,Butters,Stan,7
50,Kyle,Mr. Mackey,6
51,Mr. Mackey,Stan,4
52,Cartman,Stephen,8
53,Cartman,Randy,4
54,Clyde,Craig,1
55,Craig,Wendy,1
56,Butters,Craig,1
57,Craig,Stephen,2
58,Craig,Randy,1
59,Clyde,Stan,1
60,Clyde,Stephen,2
61,Clyde,Randy,1
62,Kyle,Stephen,2
63,Kyle,Randy,1
64,Stan,Wendy,1
65,Stephen,Wendy,2
66,Randy,Wendy,1
67,Stan,Stephen,2
68,Butters,Stephen,2
69,Butters,Randy,1
70,Corey,Kyle,22
71,Corey,Stan,22
72,Cartman,Corey,13
73,Kenny,Stan,2
74,Corey,Kenny,5
75,Cartman,Kenny,1
76,Kenny,Kyle,2
77,Cable Guy,Kyle,24
78,David,Kyle,36
79,Kyle,Mitch,4
80,Cable Guy,Stan,48
81,Cable Guy,David,54
82,Cable Guy,Mitch,6
83,David,Stan,72
84,Mitch,Stan,8
85,David,Mitch,9
