,source,target,weight
0,Cartman,Tolkien,68
1,Jimmy,Tolkien,3
2,Stan,Tolkien,6
3,Kyle,Tolkien,3
4,Cartman,Jimmy,6
5,Cartman,Stan,12
6,Cartman,Kyle,18
7,Jimmy,Stan,2
8,Jimmy,Kyle,1
9,Kyle,Stan,2
10,Cartman,Mr. Mackey,64
11,Protester,Reporter,2
12,Reporter,Tolkien,2
13,Protester,Tolkien,1
14,Mr. Mackey,Tolkien,21
15,Principal Victoria,The kids,2
16,Cartman,Principal Victoria,4
17,Principal Victoria,Tolkien,2
18,Cartman,The kids,8
19,The kids,Tolkien,4
20,Cartman,Pilot,48
21,Captain,Pilot,6
22,Captain,Cartman,15
23,Butters,Girls,1
24,Cartman,Jimbo,56
25,Cartman,Flight Attendant,1
26,Butters,Kyle,1
27,Kyle,Mr. Mackey,3
