,source,target,weight
0,Butters,Cartman,1
1,Kyle,Sheila,2
2,Ike,Kyle,96
3,Kyle,Mr. Mackey,64
4,Ike,Minister,1
5,Kyle,Minister,1
6,Minister,Wife,4
7,Kyle,Therapist,1
8,Ike,Therapist,1
9,Kyle,Stan,4
10,Cartman,Stan,2
11,Mr. Mackey,Stan,6
12,Mr. Garrison,Stan,1
13,Cartman,Kyle,8
14,Kyle,Mr. Garrison,4
15,Cartman,Mr. Mackey,12
16,Cartman,Mr. Garrison,2
17,Mr. Garrison,Mr. Mackey,6
18,Ike,Ryan,6
19,Kyle,Ryan,2
20,Minister,Rick,10
21,Mr. Adler,Mr. Mackey,7
22,Mr. Mackey,Principal Victoria,7
23,Coach,Mr. Mackey,7
24,Miles,Mr. Mackey,7
25,Mr. Adler,Principal Victoria,1
26,Coach,Mr. Adler,1
27,Miles,Mr. Adler,1
28,Coach,Principal Victoria,1
29,Miles,Principal Victoria,1
30,Coach,Miles,1
31,Anchor,Ike,1
32,Kyle,Rick,7
33,Announcer,Commentator,2
34,Host,Kyle,8
35,Host,Ike,6
