,source,target,weight
0,Narrator,Stuart,1
1,Cartman,Scott,10
2,Butters,Cartman,53
3,Cartman,Kyle,53
4,Butters,Scott,75
5,Kyle,Scott,6
6,Butters,Kyle,3
7,Ballmer,John,12
8,Ballmer,Dave,16
9,Dave,John,12
10,Niles,Tom,7
11,Butters,Thompson,12
12,Cartman,Thompson,45
13,Ballmer,Secretary,5
14,Gates,Secretary,5
15,Ballmer,Gates,25
16,Butler,Scott,16
17,George R. R. Martin,Scott,48
18,Butler,Butters,52
19,Butters,George R. R. Martin,112
20,Butler,George R. R. Martin,24
21,Kyle,Thompson,12
22,Niles,Tammy,10
23,Tammy,Tom,3
24,Gates,Tom,2
25,Gates,Tammy,2
26,Gates,Niles,4
27,Cartman,Mrs. McCormick,2
28,Cartman,Other kids,5
29,Other kids,Stan,7
30,Kenny,Other kids,3
31,Kyle,Other kids,2
32,Cartman,Stan,35
33,Cartman,Kenny,15
34,Kenny,Stan,21
35,Kyle,Stan,14
36,Kenny,Kyle,6
37,Cartman,Gates,12
38,Gates,Thompson,6
39,Niles,President,12
40,Chorus,Soloist,9
41,Chorus,Scott,9
42,Chorus,George R. R. Martin,18
43,Butters,Chorus,15
44,Scott,Soloist,9
45,George R. R. Martin,Soloist,18
46,Butters,Soloist,15
47,Aide,President,4
48,Aide,Craig,2
49,Aide,Kenny,2
50,Craig,President,2
51,Kenny,President,2
52,Craig,Kenny,1
