,source,target,weight
0,Butters,Cartman,291
1,Butters,Stephen,18
2,Cartman,Stephen,10
3,Butters,Kenny,36
4,Cartman,Kenny,80
5,Stephen,Thomas,10
6,Kenny,Stan,30
7,Kenny,Kyle,20
8,Cartman,Stan,48
9,Cartman,Kyle,74
10,Kyle,Stan,24
11,Craig,Jimmy,4
12,Butters,Craig,12
13,Cartman,Craig,12
14,Butters,Jimmy,12
15,Cartman,Jimmy,12
16,Roger,Thomas,6
17,Randy,Thomas,6
18,Laura,Thomas,10
19,Stuart,Thomas,2
20,Mr. Garrison,Thomas,2
21,Randy,Roger,9
22,Laura,Roger,9
23,Roger,Stuart,3
24,Mr. Garrison,Roger,3
25,Laura,Randy,9
26,Randy,Stuart,3
27,Mr. Garrison,Randy,3
28,Laura,Stuart,3
29,Laura,Mr. Garrison,3
30,Mr. Garrison,Stuart,1
31,Clerk,Stephen,42
32,Sgt. Yates,Thomas,4
33,Laura,Sgt. Yates,2
34,Randy,Sharon,1
35,Jimbo,Randy,1
36,Anchor,Jimbo,1
37,Anchor,Randy,1
38,Mr. Garrison,Steve,1
39,Randy,Stephen,16
40,Laura,Reporter,6
41,Laura,Stephen,4
42,Reporter,Thomas,3
43,Reporter,Stephen,6
