,source,target,weight
0,Jimmy,Kyle,67
1,Butters,Kyle,12
2,Announcer,Kyle,8
3,Cartman,Kyle,53
4,Announcer,Butters,6
5,Butters,Cartman,6
6,Announcer,Cartman,4
7,Minister,Terrance,36
8,Phillip,Terrance,26
9,Minister,Phillip,44
10,Randy,Stan,38
11,Randy,Sharon,5
12,Kyle,Stan,40
13,Cartman,Stan,26
14,Kenny,Stan,12
15,Kenny,Kyle,18
16,Cartman,Kenny,10
17,Boy,Jimmy,14
18,Boy,Kyle,12
19,Boy,Kenny,2
20,Boy,Cartman,4
21,Jimmy,Kenny,7
22,Cartman,Jimmy,22
23,Marvin,Randy,11
24,Marvin,Stan,9
25,Jimmy,Stan,8
26,Satan,Stan,62
27,Announcer,Stan,4
28,Announcer,Satan,5
29,Sharon,Stan,1
30,Phillip,Satan,3
