,source,target,weight
0,Butters,Stan,87
1,Cartman,Stan,53
2,Clyde,Stan,1
3,Butters,Cartman,527
4,Butters,Clyde,9
5,Cartman,Clyde,7
6,Kyle,Stan,90
7,Cartman,Kyle,176
8,Butters,Kyle,45
9,Cartman,Stephen,53
10,Cartman,Linda,14
11,Cartman,Driver,24
12,Butters,Stephen,145
13,Butters,Linda,35
14,Butters,Driver,34
15,Linda,Stephen,22
16,Driver,Stephen,6
17,Driver,Linda,2
18,Butters,Nurse,26
19,Cartman,Nurse,20
20,Cartman,Steve,58
21,Kyle,Steve,118
22,Butters,Kenny,5
23,Kyle,Stephen,30
24,Kenny,Kyle,18
25,Kenny,Stephen,1
26,Kenny,Stan,6
27,Stan,Steve,74
28,Stan,Stephen,72
29,Linda,Stan,16
30,Butters,Steve,45
31,Kyle,Linda,6
32,Stephen,Steve,45
33,Linda,Steve,10
