,source,target,weight
0,Cartman,Kyle,3
1,Butters,Kyle,1
2,Kenny,Kyle,1
3,Kyle,Stan,1
4,Butters,Cartman,3
5,Cartman,Kenny,3
6,Cartman,Stan,3
7,Butters,Kenny,1
8,Butters,Stan,1
9,Kenny,Stan,1
10,Randy,Stephen,5
11,Fr. Maxi,Randy,9
12,Mayor McDaniels,Randy,14
13,Fr. Maxi,Stephen,1
14,Mayor McDaniels,Stephen,1
15,Fr. Maxi,Mayor McDaniels,3
16,Kenny,Randy,6
17,Randy,Stuart,10
18,Kenny,Stuart,3
19,Kenny,Mayor McDaniels,1
20,Mayor McDaniels,Stuart,5
21,Johnson,Stuart,6
22,Aide,Stuart,3
23,Johnson,Randy,4
24,Aide,Johnson,2
25,Johnson,Mayor McDaniels,4
26,Aide,Randy,2
27,Aide,Mayor McDaniels,1
28,Det. Harris,Stephen,1
29,Officer Barbrady,Stephen,1
30,Det. Harris,Officer Barbrady,1
31,Det. Harris,Randy,1
32,Officer Barbrady,Randy,1
33,Diner,Tuong Lu Kim,2
34,Diner,Mike,2
35,Mike,Tuong Lu Kim,4
36,Carol,Karen,1
37,Carol,Stuart,2
38,Karen,Stuart,1
39,Johnson,Townsman,1
40,Mayor McDaniels,Townsman,2
41,Mayor McDaniels,Teacher,3
42,Stuart,Voice,1
43,Carol,Voice,1
44,Kenny,Tuong Lu Kim,22
45,Mayor McDaniels,Rancher,2
46,Fr. Maxi,Rancher,4
47,Rancher,Richard,2
48,Rancher,Randy,4
49,Bob,Rancher,2
50,Mayor McDaniels,Richard,1
51,Bob,Mayor McDaniels,1
52,Fr. Maxi,Richard,2
53,Bob,Fr. Maxi,2
54,Randy,Richard,2
55,Bob,Richard,1
56,Bob,Randy,2
57,Randy,Tuong Lu Kim,6
58,Girl,Tuong Lu Kim,3
59,Girl,Kenny,2
60,Girl,Randy,2
61,Karen,Kenny,1
