,source,target,weight
0,Girls,Wendy,15
1,Tweek,Wendy,15
2,Craig,Wendy,14
3,Cartman,Wendy,5
4,Girls,Tweek,3
5,Craig,Girls,3
6,Cartman,Girls,3
7,Craig,Tweek,187
8,Cartman,Tweek,3
9,Cartman,Craig,2
10,Butters,Kyle,1
11,Jimmy,Kyle,1
12,Kyle,Stan,4
13,Butters,Jimmy,1
14,Butters,Stan,1
15,Jimmy,Stan,1
16,Girl 1,Girl 2,2
17,Craig,Girl 1,2
18,Girl 1,Girl 3,2
19,Girl 1,Tweek,4
20,Craig,Girl 2,1
21,Girl 2,Girl 3,1
22,Girl 2,Tweek,2
23,Craig,Girl 3,1
24,Girl 3,Tweek,2
25,Craig,PC Principal,35
26,PC Principal,Tweek,40
27,Stephen,Thomas,1
28,Mrs. Tweek,Richard,4
29,Mrs. Tweek,Tweek,3
30,Mom,Mrs. Tweek,1
31,Richard,Tweek,12
32,Mom,Richard,8
33,Mom,Tweek,3
34,Cartman,Cupid Me,62
35,Cartman,Kyle,4
36,Cartman,Stan,2
37,PC Principal,Thomas,9
38,Craig,Thomas,13
39,Cartman,Liane,4
40,Craig,Mom,4
41,Craig,Richard,4
42,Skeeter,Thomas,2
43,Butters,Tweek,10
44,Butters,Craig,9
45,Butters,Wendy,1
46,Cupid Me,Man 1,5
47,Cupid Me,Man 2,5
48,Bartender,Cupid Me,5
49,Cartman,Man 1,6
50,Cartman,Man 2,6
51,Bartender,Cartman,6
52,Man 1,Man 2,1
53,Bartender,Man 1,1
54,Bartender,Man 2,1
55,Laura,Thomas,2
56,Thomas,Tweek,12
57,Laura,Tweek,6
58,Craig,Laura,5
59,Cupid Me,Thomas,4
