,source,target,weight
0,Officer Barbrady,Sgt. Yates,1
1,Officer Barbrady,PC Principal,3
2,Barbrady,Officer Barbrady,2
3,Boy,Officer Barbrady,1
4,PC Principal,Sgt. Yates,3
5,Barbrady,Sgt. Yates,2
6,Boy,Sgt. Yates,1
7,Barbrady,PC Principal,6
8,Boy,PC Principal,3
9,Barbrady,Boy,2
10,Barbrady,Mayor McDaniels,36
11,Barbrady,Johnson,24
12,Johnson,Mayor McDaniels,18
13,Sgt. Yates,Stuart,20
14,Mitch,Sgt. Yates,4
15,Carol,Sgt. Yates,8
16,Mitch,Stuart,5
17,Carol,Stuart,10
18,Carol,Mitch,2
19,Cartman,Stan,31
20,Kyle,Stan,8
21,Butters,Stan,8
22,Cartman,Kyle,26
23,Butters,Cartman,29
24,Butters,Kyle,7
25,Cartman,Tolkien,26
26,Cartman,Clyde,17
27,Cartman,Driver,4
28,Cartman,Passenger,4
29,Stan,Tolkien,11
30,Clyde,Stan,4
31,Driver,Stan,1
32,Passenger,Stan,1
33,Clyde,Tolkien,6
34,Driver,Tolkien,1
35,Passenger,Tolkien,1
36,Clyde,Driver,2
37,Clyde,Passenger,2
38,Driver,Passenger,1
39,Barkley,Skeeter,4
40,Patron,Skeeter,2
41,Randy,Skeeter,4
42,Barkley,Patron,2
43,Barkley,Randy,4
44,Patron,Randy,2
45,Kyle,Tolkien,4
46,Butters,Tolkien,9
47,Clyde,Kyle,2
48,Butters,Clyde,4
49,Cartman,Reporter,4
50,Anchor,Cartman,4
51,Butters,Reporter,1
52,Reporter,Stan,2
53,Reporter,Tolkien,1
54,Anchor,Reporter,1
55,Anchor,Butters,1
56,Anchor,Stan,2
57,Anchor,Tolkien,1
58,Mayor McDaniels,Randy,14
59,Gerald,Randy,6
60,Randy,Stephen,13
61,Gerald,Mayor McDaniels,5
62,Mayor McDaniels,Stephen,8
63,Gerald,Stephen,7
64,Jimmy,Ryan,2
65,Mayor McDaniels,Sgt. Yates,6
66,Randy,Sgt. Yates,6
67,ISIS leader,Stan,3
68,Butters,ISIS leader,3
69,Cartman,ISIS leader,9
70,Barbrady,Randy,35
71,Barbrady,Stephen,7
72,Aide,Barbrady,9
73,Johnson,Randy,5
74,Aide,Randy,5
75,Johnson,Stephen,1
76,Aide,Johnson,2
77,Aide,Stephen,1
78,Aide,Mayor McDaniels,3
79,Randy,Sharon,20
80,Kyle,Ninjas,4
81,Barbrady,Kyle,10
82,Kyle,Randy,2
83,David,Kyle,2
84,Ninjas,Tolkien,2
85,Barbrady,Tolkien,5
86,Randy,Tolkien,1
87,David,Tolkien,1
88,Cartman,Ninjas,2
89,Ninjas,Stan,4
90,Barbrady,Ninjas,10
91,Ninjas,Randy,2
92,David,Ninjas,2
93,Barbrady,Cartman,5
94,Cartman,Randy,2
95,Cartman,David,1
96,Barbrady,Stan,10
97,Randy,Stan,2
98,David,Stan,2
99,Barbrady,David,5
100,David,Randy,1
101,Cartman,Sgt. Yates,3
102,Cartman,Mayor McDaniels,1
