,source,target,weight
0,Jim,Mike,26
1,Jimbo,Mike,6
2,Mike,Randy,18
3,Mike,Sports Commentator,6
4,Crowd,Mike,6
5,Dave,Mike,6
6,Mike,Stephen,6
7,Mike,Referee,6
8,Jim,Jimbo,3
9,Jim,Randy,9
10,Jim,Sports Commentator,3
11,Crowd,Jim,3
12,Dave,Jim,3
13,Jim,Stephen,3
14,Jim,Referee,3
15,Jimbo,Randy,3
16,Jimbo,Sports Commentator,1
17,Crowd,Jimbo,1
18,Dave,Jimbo,1
19,Jimbo,Stephen,1
20,Jimbo,Referee,1
21,Randy,Sports Commentator,3
22,Crowd,Randy,3
23,Dave,Randy,3
24,Randy,Stephen,88
25,Randy,Referee,3
26,Crowd,Sports Commentator,1
27,Dave,Sports Commentator,1
28,Sports Commentator,Stephen,1
29,Referee,Sports Commentator,2
30,Crowd,Dave,1
31,Crowd,Stephen,1
32,Crowd,Referee,1
33,Dave,Stephen,1
34,Dave,Referee,1
35,Referee,Stephen,1
36,Heidi,PC Principal,14
37,Heidi,Wendy,6
38,Cartman,Heidi,441
39,PC Principal,Wendy,9
40,Cartman,PC Principal,17
41,Cartman,Wendy,26
42,Joe Biden,Senators,1
43,Lady Senator,Male Senator,4
44,Bebe,Wendy,6
45,Nelly,Wendy,10
46,Bebe,Cartman,14
47,Cartman,Nelly,27
48,Bebe,Nelly,6
49,Pollster,Randy,20
50,Randy,Sharon,11
51,Sharon,Stan,5
52,Randy,Stan,22
53,Arthur,Hillary,2
54,Caitlyn,Garrison,24
55,Caitlyn,Caityln,3
56,Caityln,Garrison,4
57,Kyle,Mr. Mackey,12
58,Berries,Mr. Mackey,4
59,Berries,Kyle,3
60,Garrison,Moderator,7
61,Matt,Moderator,5
62,Crowd,Moderator,1
63,Garrison,Matt,35
64,Crowd,Garrison,7
65,Crowd,Matt,5
66,Cartman,Preschoolers,2
67,Cartman,Kyle,271
68,Berries,Stephen,3
69,Berries,Randy,25
70,Butters,Craig,8
71,Craig,Kyle,16
72,Cartman,Craig,17
73,Clyde,Craig,7
74,Butters,Kyle,44
75,Butters,Cartman,156
76,Butters,Clyde,16
77,Clyde,Kyle,16
78,Cartman,Clyde,28
79,Berry,Randy,4
80,Berries,Berry,3
81,Garrison,Jim,16
82,Announcer,Jim,8
83,Garrison,Mike,8
84,Announcer,Mike,4
85,Announcer,Garrison,8
86,Gerald,Kyle,84
87,Clyde,Stan,7
88,Kyle,Stan,37
89,Cartman,Stan,15
90,Gerald,Sheila,286
91,Annie,Wendy,9
92,Craig,Jimmy,2
93,Butters,Jimmy,5
94,Clyde,Jimmy,4
95,Kyle,Tolkien,18
96,Stan,Tolkien,7
97,Butters,Stan,21
98,Craig,Stan,4
99,Butters,Tolkien,9
100,Craig,Tolkien,3
101,Mr. Mackey,Scott,75
102,Cartman,Tolkien,11
103,Clyde,Tolkien,5
104,CNN reporter,Gerald,6
105,Freja Ollegard,Gerald,15
106,CNN reporter,Freja Ollegard,4
107,Nichole,Wendy,1
108,Annie,Nichole,1
109,Audience Member,Freja Ollegard,3
110,Audience Member,Gerald,3
111,Gerald,Officer,6
112,Barkley,Officer,7
113,Kyle,Officer,2
114,Barkley,Gerald,42
115,Barkley,Kyle,14
116,Jimmy,Tolkien,1
117,Jimmy,Kyle,1
118,Garrison,Lester Holt,6
119,Clinton,Lester Holt,6
120,Clinton,Garrison,36
121,Butters,PC Principal,2
122,Cartman,Driver,7
123,Cartman,Martha,4
124,Driver,Heidi,6
125,Heidi,Martha,4
126,Driver,Martha,4
