,source,target,weight
0,Jim,Mike,26
1,Jimbo,Mike,6
2,Mike,Sports Commentator,6
3,Crowd,Mike,6
4,Dave,Mike,6
5,Mike,Stephen,6
6,Mike,Referee,6
7,Jim,Jimbo,3
8,Jim,Sports Commentator,3
9,Crowd,Jim,3
10,Dave,Jim,3
11,Jim,Stephen,3
12,Jim,Referee,3
13,Jimbo,Sports Commentator,1
14,Crowd,Jimbo,1
15,Dave,Jimbo,1
16,Jimbo,Stephen,1
17,Jimbo,Referee,1
18,Crowd,Sports Commentator,1
19,Dave,Sports Commentator,1
20,Sports Commentator,Stephen,1
21,Referee,Sports Commentator,1
22,Crowd,Dave,1
23,Crowd,Stephen,1
24,Crowd,Referee,1
25,Dave,Stephen,1
26,Dave,Referee,1
27,Referee,Stephen,1
28,Heidi,PC Principal,6
29,Heidi,Wendy,2
30,Cartman,Heidi,6
31,PC Principal,Wendy,3
32,Cartman,PC Principal,9
33,Cartman,Wendy,17
34,Joe Biden,Senators,1
35,Lady Senator,Male Senator,4
36,Male Senator,Senator 2,2
37,Male Senator,Senator 3,2
38,Lady Senator,Senator 2,2
39,Lady Senator,Senator 3,2
40,Senator 2,Senator 3,1
41,Bebe,Wendy,4
42,Nelly,Wendy,6
43,Bebe,Cartman,14
44,Cartman,Nelly,21
45,Bebe,Nelly,6
46,Sharon,Stan,4
47,Hillary,Reporter 1,2
48,Arthur,Reporter 1,1
49,Arthur,Hillary,2
50,Caitlyn,Garrison,16
51,Caitlyn,Caityln,3
52,Caityln,Garrison,4
53,Kyle,Mr. Mackey,12
54,Berries,Mr. Mackey,4
55,Berries,Kyle,3
56,Garrison,Moderator,7
57,Matt,Moderator,5
58,Crowd,Moderator,1
59,Garrison,Matt,35
60,Crowd,Garrison,7
61,Crowd,Matt,5
62,Cartman,Preschoolers,2
63,Cartman,Kyle,65
64,Berries,Stephen,1
65,Adviser 1,Garrison,3
66,Adviser 1,Adviser 2,1
67,Adviser 1,Caitlyn,1
68,Adviser 2,Garrison,3
69,Adviser 2,Caitlyn,1
70,Butters,Craig,4
71,Craig,Kyle,10
72,Cartman,Craig,10
73,Clyde,Craig,2
74,Butters,Kyle,10
75,Butters,Cartman,10
76,Butters,Clyde,2
77,Clyde,Kyle,5
78,Cartman,Clyde,5
79,Anchor 2,Garrison,6
80,Berries,Berry,3
81,Garrison,Jim,16
82,Announcer,Jim,8
83,Garrison,Mike,8
84,Announcer,Mike,4
85,Announcer,Garrison,8
86,Gerald,Kyle,1
