,source,target,weight
0,Gerald,Kyle,14
1,Dick,Gerald,140
2,Kyle,Stan,5
3,Butters,Stan,9
4,Clyde,Stan,1
5,Stan,Tolkien,1
6,Butters,Kyle,15
7,Clyde,Kyle,3
8,Kyle,Tolkien,3
9,Butters,Clyde,5
10,Butters,Tolkien,5
11,Clyde,Tolkien,1
12,Gerald,Sheila,160
13,Dick,Sheila,5
14,Kyle,Wendy,2
15,Kyle,Referee,2
16,Stan,Wendy,2
17,Referee,Stan,1
18,Referee,Wendy,1
19,Gerald,Richard,10
20,Gerald,Randy,25
21,Berries,Gerald,10
22,Gerald,Michael,5
23,Gerald,Stephen,5
24,Randy,Richard,10
25,Berries,Richard,4
26,Michael,Richard,2
27,Richard,Stephen,2
28,Berries,Randy,10
29,Michael,Randy,5
30,Randy,Stephen,5
31,Berries,Michael,2
32,Berries,Stephen,2
33,Michael,Stephen,1
34,PC Principal,Wendy,6
35,Bebe,Wendy,2
36,Bebe,PC Principal,3
37,Butters,Wendy,4
38,Gerald,Ike,2
39,Ike,Kyle,1
40,Cartman,Kyle,113
41,Cartman,Heidi,109
42,Heidi,Kyle,59
43,Bedrager,Gerald,1
44,Bedrager,Dick,1
