,source,target,weight
0,Cartman,Heidi,52
1,Gerald,Trolls,3
2,Dick,Trolls,4
3,PurpleheadedQueeflicker,Trolls,1
4,Anonymous821,Trolls,2
5,Dick,Gerald,137
6,Gerald,PurpleheadedQueeflicker,1
7,Anonymous821,Gerald,3
8,Dick,PurpleheadedQueeflicker,1
9,Anonymous821,Dick,4
10,Anonymous821,PurpleheadedQueeflicker,1
11,Dick,SupersexyLisa18,3
12,SupersexyLisa18,Trolls,1
13,Gerald,SupersexyLisa18,2
14,Anonymous821,SupersexyLisa18,1
15,Jar Berries,Randy,9
16,Experiment Berry,Jar Berries,12
17,Garrison,Jar Berries,3
18,Experiment Berry,Randy,12
19,Garrison,Randy,45
20,Experiment Berry,Garrison,4
21,Cartman,Kyle,71
22,Heidi,Kyle,24
23,MLKKK,Unknown Caller,5
24,MLKKK,Unknown Caller's Daughter,2
25,Unknown Caller,Unknown Caller's Daughter,1
26,Mickey,Tubbs,1
27,Gerald,News reporter,8
28,Dick,News reporter,2
