,source,target,weight
0,Harrison,Unknown person,5
1,Stephen,Unknown person,1
2,Laura,Unknown person,1
3,Harrison,Stephen,6
4,Harrison,Laura,5
5,Laura,Stephen,1
6,Kyle,Sheila,31
7,Gerald,Kyle,36
8,Ike,Kyle,50
9,Gerald,Sheila,6
10,Gerald,Ike,6
11,Ike,Sheila,13
12,Cartman,Heidi,53
13,Elon Musk,Heidi,9
14,Butters,Heidi,3
15,Cartman,Elon Musk,18
16,Butters,Cartman,35
17,Butters,Elon Musk,3
18,Bedrager,Gerald,59
19,Anonymous821,Gerald,5
20,Anonymous821,Bedrager,2
21,Harrison,Men,1
22,Harrison,Kyle,4
23,Harrison,Ike,1
24,Harrison,Randy,3
25,Harrison,Prayers,2
26,Kyle,Men,4
27,Ike,Men,1
28,Men,Randy,3
29,Men,Prayers,2
30,Men,Stephen,1
31,Kyle,Randy,12
32,Kyle,Prayers,8
33,Kyle,Stephen,4
34,Ike,Randy,3
35,Ike,Prayers,2
36,Ike,Stephen,1
37,Prayers,Randy,6
38,Randy,Stephen,3
39,Prayers,Stephen,2
40,Garrison,Second General,13
41,Army Soldier,Garrison,13
42,Garrison,Mr. Slave,52
43,Army Soldier,Second General,2
44,Mr. Slave,Second General,1
45,Army Soldier,Mr. Slave,1
46,Garrison,Ike,37
47,First General,Garrison,7
48,Garrison,Kyle,97
49,Ike,Mr. Slave,7
50,First General,Mr. Slave,7
51,Kyle,Mr. Slave,7
52,First General,Ike,1
53,First General,Kyle,1
54,Anonymous821,Dick,3
55,Anonymous821,Trolls,1
56,Dick,Gerald,12
57,Dick,Trolls,3
58,Gerald,Trolls,4
59,Kyle,Second General,9
60,Ike,Second General,3
61,Army Soldier,Kyle,9
62,Army Soldier,Ike,3
63,Heidi,SpaceX Employee,7
64,Cartman,SpaceX Employee,5
65,Music video,TrollTrace Employee,1
66,Dick,Music video,1
67,Dick,TrollTrace Employee,1
