,source,target,weight
0,Alexa,Butters,5
1,Alexa,Cartman,104
2,Alexa,Ike,5
3,Alexa,Heidi,52
4,Alexa,Stan,5
5,Alexa,Kyle,5
6,Alexa,Clyde,5
7,Alexa,Jimmy,5
8,Butters,Cartman,21
9,Butters,Ike,1
10,Butters,Heidi,8
11,Butters,Stan,1
12,Butters,Kyle,1
13,Butters,Clyde,3
14,Butters,Jimmy,1
15,Cartman,Ike,11
16,Cartman,Heidi,146
17,Cartman,Stan,11
18,Cartman,Kyle,11
19,Cartman,Clyde,16
20,Cartman,Jimmy,11
21,Heidi,Ike,8
22,Ike,Stan,1
23,Ike,Kyle,1
24,Clyde,Ike,1
25,Ike,Jimmy,1
26,Heidi,Stan,8
27,Heidi,Kyle,8
28,Clyde,Heidi,8
29,Heidi,Jimmy,8
30,Kyle,Stan,1
31,Clyde,Stan,1
32,Jimmy,Stan,1
33,Clyde,Kyle,1
34,Jimmy,Kyle,1
35,Clyde,Jimmy,1
36,Darryl,Eddie,3
37,Cleetus,Eddie,1
38,Alexa,Eddie,1
39,Cleetus,Darryl,15
40,Alexa,Darryl,3
41,Alexa,Cleetus,1
42,Randy,Sharon,26
43,Protesters,Randy,44
44,Darryl,Randy,120
45,A Protester,Randy,3
46,Darryl,Protesters,22
47,A Protester,Protesters,4
48,A Protester,Darryl,4
49,Darryl,Judge,2
50,Judge,Randy,2
51,Cartman,Tolkien,5
52,Butters,Tolkien,2
53,Clyde,Tolkien,1
54,Cartman,Liane,30
55,Jim Bob,Liane,24
56,Jim bob,Liane,6
57,Cartman,Jim Bob,20
58,Cartman,Jim bob,5
59,Jim Bob,Jim bob,4
60,Darryl,Sharon,12
61,All 4 Heidi's,Cartman,1
62,Cleetus,Randy,9
63,Heidi,Liane,4
64,Alexa,Siri,1
65,Alexa,Google Home,1
66,Alexa,Alexas,1
67,Google Home,Siri,1
68,Alexas,Siri,1
69,Cartman,Siri,1
70,Alexas,Google Home,1
71,Cartman,Google Home,1
72,Alexas,Cartman,1
