,source,target,weight
0,Bob White,Garrison,12
1,Ike,Kyle,1
2,Bob White,PC Principal,3
3,PC Principal,Strong Woman,17
4,Bob White,Strong Woman,6
5,Garrison,Tweek,4
6,Kyle,Tweek,13
7,Craig,Tweek,12
8,Stan,Tweek,14
9,Heidi,Tweek,6
10,Tolkien,Tweek,6
11,Randy,Tweek,9
12,Cartman,Tweek,8
13,Craig,Kyle,16
14,Kyle,Stan,20
15,Heidi,Kyle,21
16,Kyle,Tolkien,6
17,Kyle,Randy,9
18,Cartman,Kyle,20
19,Craig,Stan,17
20,Craig,Heidi,9
21,Craig,Tolkien,6
22,Craig,Randy,9
23,Cartman,Craig,11
24,Heidi,Stan,22
25,Stan,Tolkien,6
26,Randy,Stan,12
27,Cartman,Stan,22
28,Heidi,Tolkien,2
29,Heidi,Randy,21
30,Cartman,Heidi,75
31,Randy,Tolkien,6
32,Cartman,Tolkien,4
33,Cartman,Randy,24
34,Bob White,Mayor McDaniels,6
35,Mayor McDaniels,Randy,4
36,Mayor McDaniels,Townsfolk,2
37,Bob White,Randy,57
38,Bob White,Townsfolk,3
39,Randy,Townsfolk,2
40,PC Principal,Waiter,9
41,Butters,PC Principal,3
42,Strong Woman,Waiter,15
43,Butters,Strong Woman,5
44,Butters,Waiter,3
45,Jimbo,Randy,2
46,Randy,Strong Woman,3
47,Linda Black,Randy,3
48,Randy,Steven,3
49,Linda Black,Strong Woman,1
50,Steven,Strong Woman,1
51,Linda Black,Steven,1
52,Garrison,Heidi,10
53,Cartman,Garrison,10
54,Garrison,Stan,2
55,Randy,Sharon,15
56,Sharon,Sheila,1
57,Sheila,Stan,1
58,Bob White,Sheila,3
59,Randy,Sheila,3
60,Garrison,Sheila,1
61,Heidi,Sheila,6
62,Cartman,Sheila,6
63,Sharon,Stan,1
64,Bob White,Sharon,3
65,Garrison,Sharon,1
66,Heidi,Sharon,6
67,Cartman,Sharon,6
68,Bob White,Stan,3
69,Bob White,Heidi,18
70,Bob White,Cartman,18
71,Garrison,Randy,3
