,source,target,weight
0,Mayor McDaniels,Randy,7
1,Randy,Ryan,1
2,Mrs. Testaburger,Randy,1
3,Mr. Hankey,Randy,6
4,Mayor McDaniels,Ryan,5
5,Mayor McDaniels,Mrs. Testaburger,5
6,Mayor McDaniels,Mr. Hankey,33
7,Mrs. Testaburger,Ryan,1
8,Mr. Hankey,Ryan,4
9,Mr. Hankey,Mrs. Testaburger,4
10,Cartman,Craig,1
11,Craig,Mr. Hankey,1
12,Cartman,Mr. Hankey,1
13,PC Principal,Strong Woman,97
14,Cartman,Kyle,18
15,Cartman,Stan,13
16,Kyle,Stan,18
17,Kyle,Mr. Hankey,86
18,Gerald,Kyle,3
19,Gerald,Mr. Hankey,3
20,Kenny,Kyle,4
21,Kenny,Stan,3
22,Cartman,Kenny,3
23,Mr. Hankey,PC Principal,8
24,Kyle,PC Principal,2
25,Mr. Hankey,Stan,2
26,Mayor McDaniels,Stan,2
27,Randy,Stan,1
