,source,target,weight
0,Randy,Stan,54
1,Randy,Stephen,84
2,Mr. Mackey,Randy,22
3,Mr. Mackey,Stephen,29
4,Cartman,Stephen,18
5,Esposa,Stephen,2
6,Girl,Stephen,2
7,Cartman,Esposa,4
8,Cartman,Girl,4
9,Esposa,Girl,1
10,Cartman,Kyle,122
11,Ike,Kyle,6
12,Gerald,Kyle,30
13,Kyle,Sheila,24
14,Cartman,Ike,4
15,Cartman,Gerald,22
16,Cartman,Sheila,23
17,Gerald,Ike,5
18,Ike,Sheila,25
19,Gerald,Sheila,20
20,Randy,Towelie,243
21,Stan,Towelie,5
22,David,Jeff,83
23,David,Rodgers,6
24,David,Martinez,2
25,Aguilar,David,2
26,David,Kyle,54
27,Boy,David,2
28,David,Girl,2
29,Martinez,Rodgers,3
30,Aguilar,Rodgers,3
31,Kyle,Rodgers,9
32,Jeff,Rodgers,6
33,Boy,Rodgers,3
34,Girl,Rodgers,3
35,Aguilar,Martinez,1
36,Kyle,Martinez,3
37,Jeff,Martinez,2
38,Boy,Martinez,1
39,Girl,Martinez,1
40,Aguilar,Kyle,3
41,Aguilar,Jeff,2
42,Aguilar,Boy,1
43,Aguilar,Girl,1
44,Jeff,Kyle,94
45,Boy,Kyle,3
46,Girl,Kyle,3
47,Boy,Jeff,2
48,Girl,Jeff,2
49,Boy,Girl,1
50,Jeff,Mexican Joker,20
51,Jeff,Princess Star,12
52,David,Mexican Joker,10
53,David,Princess Star,6
54,Mexican Joker,Princess Star,15
55,Cartman,David,5
56,Jimbo,Randy,10
57,Jimbo,Mr. Mackey,13
58,Jimbo,Stephen,51
59,Husband,Wife,8
60,Jack,Wife,4
61,Husband,Jack,2
62,Cmdr Miller,News Anchor,20
63,Cmdr Miller,Jeff,40
64,Cmdr Miller,David,10
65,Cmdr Miller,Kyle,15
66,Cmdr Miller,Kids,5
67,Cartman,Cmdr Miller,5
68,Jeff,News Anchor,32
69,David,News Anchor,8
70,Kyle,News Anchor,12
71,Kids,News Anchor,4
72,Cartman,News Anchor,4
73,Jeff,Kids,8
74,Cartman,Jeff,8
75,David,Kids,2
76,Kids,Kyle,3
77,Cartman,Kids,1
78,Sharon,Stan,32
79,Randy,Sharon,46
80,Mayor McDaniels,Sharon,1
81,Mayor McDaniels,Stephen,1
82,Linda,Mayor McDaniels,1
83,Mayor McDaniels,Stan,1
84,Jimmy,Mayor McDaniels,1
85,Butters,Mayor McDaniels,1
86,Sharon,Stephen,1
87,Linda,Sharon,1
88,Jimmy,Sharon,1
89,Butters,Sharon,9
90,Linda,Stephen,5
91,Stan,Stephen,1
92,Jimmy,Stephen,3
93,Butters,Stephen,19
94,Linda,Stan,1
95,Jimmy,Linda,1
96,Butters,Linda,1
97,Jimmy,Stan,48
98,Butters,Stan,65
99,Butters,Jimmy,21
100,Mitchell,Randy,5
101,Butters,Producer,50
102,Butters,Kenny,6
103,Jimmy,Producer,29
104,Producer,Stan,85
105,Kenny,Producer,7
106,Jimmy,Kenny,4
107,Kenny,Stan,15
108,Male Inspector,Randy,3
109,Female Inspector,Randy,6
110,Female Inspector,Male Inspector,2
111,A familiar voice,Randy,3
112,A familiar voice,Piglet,1
113,Piglet,Randy,3
114,Presiding Judge,Randy,2
115,Mickey,Thor,5
116,Pooh,Thor,1
117,Randy,Thor,3
118,Off-Screen Assistant,Thor,1
119,Mickey,Pooh,5
120,Mickey,Randy,21
121,Mickey,Off-Screen Assistant,5
122,Pooh,Randy,12
123,Off-Screen Assistant,Pooh,1
124,Off-Screen Assistant,Randy,3
125,Mr. Mackey,Stan,21
126,Jimmy,Mr. Mackey,1
127,Mr. Mackey,Producer,3
128,Censor,Stan,1
129,Merchant,Pooh,8
130,Piglet,Pooh,8
131,Merchant,Piglet,4
132,Butters,Cartman,155
133,Butters,Kyle,9
134,Cartman,Stan,115
135,Kyle,Stan,46
136,Cartman,Jimmy,24
137,Jimmy,Kyle,8
138,Producer,The others,1
139,Stan,The others,2
140,Butters,The others,1
141,Randy,Shelley,19
142,Sharon,Shelley,4
143,Doctor,Liane,7
144,Cartman,Liane,82
145,Cartman,Doctor,7
146,Liane,PC Principal,35
147,Cartman,PC Principal,21
148,Kyle,Tolkien,3
149,Butters,Tolkien,4
150,Cartman,Tolkien,6
151,Stan,Tolkien,4
152,Stephen,Thomas,6
153,Liane,Stephen,44
154,Sheila,Stephen,5
155,Stephen,Stuart,4
156,Liane,Thomas,5
157,Jimbo,Thomas,1
158,Sheila,Thomas,1
159,Stuart,Thomas,1
160,Jimbo,Liane,6
161,Liane,Sheila,8
162,Liane,Stuart,4
163,Jimbo,Sheila,1
164,Jimbo,Stuart,1
165,Sheila,Stuart,1
166,Liane,Linda Stotch,4
167,Gerald,Liane,5
168,Linda Stotch,Stephen,5
169,Gerald,Stephen,7
170,Cartman,Linda Stotch,2
171,Gerald,Linda Stotch,1
172,Deep voices,Randy,5
173,Deep voices,Sharon,3
174,Deep voices,Shelley,1
175,Deep voices,Stan,1
176,Shelley,Stan,1
177,Cartman,Murph,12
178,Liane,Murph,8
179,Murph,Stephen,6
180,Murph,Richard,3
181,Richard,Stephen,5
182,Liane,Randy,70
183,Announcer,Danny,4
184,Cartman,Danny,4
185,Announcer,Cartman,10
186,Announcer,Murph,1
187,Announcer,Liane,4
188,Crowd,Liane,4
189,Announcer,Stephen,1
190,Crowd,Stephen,1
191,Announcer,Sheila,1
192,Crowd,Sheila,1
193,Announcer,Crowd,1
