,source,target,weight
0,Randy,Stan,23
1,Randy,Stephen,66
2,Mr. Mackey,Randy,22
3,Mr. Mackey,Stephen,24
4,Cartman,Stephen,8
5,Girl,Stephen,2
6,Cartman,Girl,4
7,Cartman,Kyle,37
8,Ike,Kyle,6
9,Gerald,Kyle,30
10,Kyle,Sheila,24
11,Cartman,Ike,4
12,Cartman,Gerald,20
13,Cartman,Sheila,16
14,Gerald,Ike,5
15,Ike,Sheila,4
16,Gerald,Sheila,20
17,Randy,Towelie,34
18,Stan,Towelie,3
19,David,Jeff,83
20,David,Kyle,54
21,Boy,David,2
22,David,Girl,2
23,Jeff,Kyle,94
24,Boy,Kyle,3
25,Girl,Kyle,3
26,Boy,Jeff,2
27,Girl,Jeff,2
28,Boy,Girl,1
29,Cartman,David,5
30,Jimbo,Randy,10
31,Jimbo,Mr. Mackey,10
32,Jimbo,Stephen,30
33,Husband,Wife,8
34,Jeff,Kids,8
35,Cartman,Jeff,8
36,David,Kids,2
37,Kids,Kyle,3
38,Cartman,Kids,1
