,source,target,weight
0,Randy,Stan,18
1,Sharon,Stan,10
2,Randy,Sharon,18
3,Mayor McDaniels,Sharon,1
4,Mayor McDaniels,Stephen,1
5,Linda,Mayor McDaniels,1
6,Mayor McDaniels,Stan,1
7,Jimmy,Mayor McDaniels,1
8,Butters,Mayor McDaniels,1
9,Sharon,Stephen,1
10,Linda,Sharon,1
11,Jimmy,Sharon,1
12,Butters,Sharon,1
13,Linda,Stephen,1
14,Stan,Stephen,1
15,Jimmy,Stephen,1
16,Butters,Stephen,1
17,Linda,Stan,1
18,Jimmy,Linda,1
19,Butters,Linda,1
20,Jimmy,Stan,32
21,Butters,Stan,51
22,Butters,Jimmy,19
23,Mitchell,Randy,5
24,Butters,Producer,50
25,Butters,Kenny,5
26,Jimmy,Producer,29
27,Producer,Stan,85
28,Kenny,Producer,7
29,Jimmy,Kenny,3
30,Kenny,Stan,6
31,Piglet,Randy,3
32,Mickey,Pooh,5
33,Mickey,Randy,21
34,Pooh,Randy,3
35,Mr. Mackey,Stan,5
36,Jimmy,Mr. Mackey,1
37,Mr. Mackey,Producer,3
38,Piglet,Pooh,8
39,Butters,Cartman,2
40,Butters,Kyle,2
41,Cartman,Stan,4
42,Kyle,Stan,4
43,Cartman,Jimmy,1
44,Jimmy,Kyle,1
45,Cartman,Kyle,1
