,source,target,weight
0,Sharon,Stan,2
1,Butters,Stephen,16
2,Guide,Shelly,3
3,Butters,Jud,9
4,Butters,Mummy,1
5,Butters,Officer,33
6,Shelly,Towelie,10
7,Cartman,PC Principal,1
8,Butters,Mr. Mackey,30
9,Butters,Stan,3
10,Kyle,Stan,1
11,Cartman,Stan,1
12,Stan,Tolkien,1
13,Butters,Kyle,3
14,Butters,Cartman,3
15,Butters,Tolkien,3
16,Cartman,Kyle,1
17,Kyle,Tolkien,1
18,Cartman,Tolkien,1
19,Det. Harris,Shelly,1
20,Butters,Shelly,3
21,Butters,Det. Harris,7
22,Guest 2,Towelie,2
23,Guest 1,Guest 2,1
24,Pooh,Towelie,5
25,Det. Harris,Officer,2
26,Pooh,Shelly,1
27,Both,Shelly,2
28,Both,Pooh,2
29,Both,Towelie,6
30,Officer Stevens,Officers,1
31,Det. Harris,Officers,2
32,Butters,Officers,2
33,Det. Harris,Officer Stevens,2
34,Butters,Officer Stevens,2
