,source,target,weight
0,Randy,Stan,3
1,Sharon,Stan,2
2,Randy,Sharon,6
3,Randy,Shelly,109
4,Butters,Stephen,16
5,Guide,Randy,5
6,Guide,Shelly,3
7,Randy,Towelie,67
8,Butters,Officer,33
9,Shelly,Towelie,10
10,Cartman,PC Principal,1
11,Butters,Mr. Mackey,30
12,Butters,Stan,3
13,Kyle,Stan,1
14,Cartman,Stan,1
15,Stan,Tolkien,1
16,Butters,Kyle,3
17,Butters,Cartman,3
18,Butters,Tolkien,3
19,Cartman,Kyle,1
20,Kyle,Tolkien,1
21,Cartman,Tolkien,1
22,Det. Harris,Shelly,1
23,Butters,Shelly,3
24,Det. Harris,Randy,6
25,Butters,Randy,4
26,Butters,Det. Harris,7
27,Pooh,Randy,9
28,Pooh,Towelie,5
29,Det. Harris,Officer,2
30,Officer,Randy,2
31,Pooh,Shelly,1
32,Both,Shelly,2
33,Both,Randy,10
34,Both,Pooh,2
35,Both,Towelie,6
