,source,target,weight
0,Mrs. Testaburger,Sheila,1
1,Laura,Sheila,69
2,Ike,Sheila,21
3,Mrs. Biggle,Sheila,27
4,Ike,Laura,6
5,Laura,Mrs. Biggle,14
6,Ike,Mrs. Biggle,3
7,Kyle,Narrator,20
8,Cartman,Kyle,56
9,Cartman,Stan,41
10,Cartman,Mrs. Biggle,6
11,Cartman,Harriet,30
12,Cartman,Kenny,25
13,Kyle,Stan,24
14,Kyle,Mrs. Biggle,7
15,Harriet,Kyle,35
16,Kenny,Kyle,18
17,Mrs. Biggle,Stan,3
18,Harriet,Stan,15
19,Kenny,Stan,9
20,Harriet,Mrs. Biggle,5
21,Kenny,Mrs. Biggle,2
22,Harriet,Kenny,10
23,Harriet,Laura,49
24,Harriet,Sheila,77
25,Cartman,Mr. Mackey,20
26,Mr. Mackey,Stan,10
27,Mom,Theresa,3
28,Mom,Tom,18
29,Cartman,Mom,6
30,Mom,Stan,3
31,Kyle,Mom,3
32,Theresa,Tom,6
33,Cartman,Theresa,2
34,Stan,Theresa,1
35,Kyle,Theresa,1
36,Cartman,Tom,12
37,Stan,Tom,6
38,Kyle,Tom,6
