,source,target,weight
0,Cartman,Mr. Mackey,1
1,Cartman,Scott,49
2,Cartman,Sophie,26
3,Mr. Mackey,Scott,1
4,Mr. Mackey,Sophie,1
5,Scott,Sophie,91
6,Scott,Stan,31
7,Cartman,Stan,25
8,Jimmy,Stan,16
9,Jimmy,Scott,26
10,Cartman,Jimmy,21
11,Dispatcher,Scott's Dad,2
12,Clark,Scott's Dad,2
13,Clark,Dispatcher,4
14,Clark,Stephen,5
15,Pete,Sophie,42
16,Pete,Scott,36
17,Clark,The other workers,10
18,Clark,Dave,7
19,Dave,Kurt,2
20,Clark,Kurt,3
21,Kyle,Stan,6
22,Dean,Stan,3
23,Announcer,Stan,3
24,Sophie,Stan,21
25,Stan,The Boys,3
26,Jimmy,Kyle,6
27,Dean,Kyle,2
28,Cartman,Kyle,6
29,Announcer,Kyle,2
30,Kyle,Scott,8
31,Kyle,Sophie,6
32,Kyle,The Boys,2
33,Dean,Jimmy,3
34,Announcer,Jimmy,3
35,Jimmy,Sophie,17
36,Jimmy,The Boys,3
37,Cartman,Dean,3
38,Announcer,Dean,1
39,Dean,Scott,4
40,Dean,Sophie,3
41,Dean,The Boys,1
42,Announcer,Cartman,3
43,Cartman,The Boys,3
44,Announcer,Scott,4
45,Announcer,Sophie,3
46,Announcer,The Boys,1
47,Scott,The Boys,4
48,Sophie,The Boys,3
49,Bob White,Both men,1
50,Bob White,Linda S.,1
51,Bob White,Stephen,1
52,Bob White,Clark,1
53,Bob White,The repairmen,1
54,Both men,Linda S.,1
55,Both men,Stephen,1
56,Both men,Clark,1
57,Both men,The repairmen,1
58,Linda S.,Stephen,1
59,Clark,Linda S.,1
60,Linda S.,The repairmen,1
61,Stephen,The repairmen,1
62,Clark,The repairmen,1
63,Sheriff,Sophie,8
64,Sheriff,Sophie's Mom,2
65,Cartman,Sheriff,8
66,Jimmy,Sheriff,4
67,Sheriff,Stan,6
68,Clyde,Sheriff,2
69,Scott,Sheriff,10
70,Sophie,Sophie's Mom,4
71,Clyde,Sophie,4
72,Cartman,Sophie's Mom,4
73,Jimmy,Sophie's Mom,2
74,Sophie's Mom,Stan,3
75,Clyde,Sophie's Mom,1
76,Scott,Sophie's Mom,5
77,Cartman,Clyde,4
78,Clyde,Jimmy,2
79,Clyde,Stan,3
80,Clyde,Scott,5
