,source,target,weight
0,Mr. Mackey,Richard Adler,2
1,Mr. Mackey,Walgreens Bouncer,17
2,Stephen Stotch,Walgreens Bouncer,8
3,Unnamed Man 1,Walgreens Bouncer,4
4,Unnamed Man 2,Walgreens Bouncer,4
5,Elderly Woman,Walgreens Bouncer,4
6,Man with Green Coat,Walgreens Bouncer,8
7,Mr. Mackey,Stephen Stotch,2
8,Mr. Mackey,Unnamed Man 1,2
9,Mr. Mackey,Unnamed Man 2,2
10,Elderly Woman,Mr. Mackey,2
11,Man with Green Coat,Mr. Mackey,2
12,Stephen Stotch,Unnamed Man 1,1
13,Stephen Stotch,Unnamed Man 2,1
14,Elderly Woman,Stephen Stotch,1
15,Man with Green Coat,Stephen Stotch,1
16,Unnamed Man 1,Unnamed Man 2,1
17,Elderly Woman,Unnamed Man 1,1
18,Man with Green Coat,Unnamed Man 1,1
19,Elderly Woman,Unnamed Man 2,1
20,Man with Green Coat,Unnamed Man 2,1
21,Elderly Woman,Man with Green Coat,1
22,Cartman,Stan,185
23,Cartman,Kenny,72
24,Kenny,Kyle,47
25,Cartman,Kyle,213
26,Bebe,Cartman,4
27,Cartman,Mrs. Nelson,57
28,Cartman,Kids,4
29,Bebe,Mrs. Nelson,4
30,Bebe,Kids,1
31,Kids,Mrs. Nelson,4
32,Kyle,Stan,128
33,Butters,Kyle,6
34,Kenny,Stan,43
35,Butters,Kenny,2
36,Butters,Stan,4
37,Butters,Cartman,10
38,Bus Driver,Unnamed Man 3,1
39,Mr. Garrison,Unnamed Man 3,1
40,Bus Driver,Mr. Garrison,1
41,Mr. Garrison,Thompson,1
42,Mr. Garrison,PC Principal,6
43,Mr. Service,PC Principal,3
44,Mr. Garrison,Mr. Service,18
45,Man with Burgundy Coat,Walgreens Bouncer,8
46,Chris,Man with Burgundy Coat,6
47,Elderly People,Man with Burgundy Coat,6
48,Elderly Man 1,Man with Burgundy Coat,2
49,Elderly Man 2,Man with Burgundy Coat,2
50,Man with Burgundy Coat,Stephen Stotch,2
51,Elderly Man 3,Man with Burgundy Coat,2
52,Chris,Walgreens Bouncer,12
53,Elderly People,Walgreens Bouncer,12
54,Elderly Man 1,Walgreens Bouncer,4
55,Elderly Man 2,Walgreens Bouncer,4
56,Elderly Man 3,Walgreens Bouncer,4
57,Chris,Elderly People,9
58,Chris,Elderly Man 1,3
59,Chris,Elderly Man 2,3
60,Chris,Stephen Stotch,3
61,Chris,Elderly Man 3,3
62,Elderly Man 1,Elderly People,3
63,Elderly Man 2,Elderly People,3
64,Elderly People,Stephen Stotch,3
65,Elderly Man 3,Elderly People,3
66,Elderly Man 1,Elderly Man 2,1
67,Elderly Man 1,Stephen Stotch,1
68,Elderly Man 1,Elderly Man 3,1
69,Elderly Man 2,Stephen Stotch,1
70,Elderly Man 2,Elderly Man 3,1
71,Elderly Man 3,Stephen Stotch,1
72,Elderly Men,Stan,1
73,Marvin's Friend 1,Stan,1
74,Marvin,Stan,1
75,Elderly Men,Marvin's Friend 1,1
76,Elderly Men,Marvin,1
77,Marvin,Marvin's Friend 1,1
78,Everyone,Mr. Garrison,3
79,Cartman,Mr. Garrison,4
80,Cartman,Everyone,1
81,Red,Scott,1
82,Cartman,Red,5
83,Kyle,Red,4
84,Red,Stan,1
85,Cartman,Scott,16
86,Kyle,Scott,8
87,Scott,Stan,7
88,Gnome 1,Gnome 2,1
89,Dr. Alphonse Mephesto,Gnome 1,1
90,Gnome 1,Walgreens Bouncer,3
91,Gnome 1,Mr. Mackey,3
