,source,target,weight
0,John,Liane,4
1,Cartman,Liane,132
2,Butters,Cartman,31
3,City Man,Liane,36
4,City Man,City Woman,19
5,City Girl,City Man,6
6,City Woman,Liane,18
7,City Girl,Liane,6
8,City Girl,City Woman,3
9,Harriet,Mr. Adler,6
10,Mr. Adler,Tuong Lu Kim,2
11,Jimbo,Mr. Adler,3
12,Mr. Adler,Tuong Lu kim,1
13,Mayor McDaniels,Mr. Adler,4
14,Harriet,Tuong Lu Kim,4
15,Harriet,Jimbo,6
16,Harriet,Tuong Lu kim,2
17,Harriet,Mayor McDaniels,8
18,Jimbo,Tuong Lu Kim,2
19,Tuong Lu Kim,Tuong Lu kim,1
20,Mayor McDaniels,Tuong Lu Kim,4
21,Jimbo,Tuong Lu kim,1
22,Jimbo,Mayor McDaniels,4
23,Mayor McDaniels,Tuong Lu kim,1
24,Cartman,City Man,6
25,Cartman,City Woman,2
26,Cartman,Richard,10
27,City Boy,Richard,2
28,City Man,Richard,2
29,Mrs. Tweak,Richard,2
30,Cartman,City Boy,4
31,Cartman,Mrs. Tweak,4
32,City Boy,City Man,1
33,City Boy,Mrs. Tweak,1
34,City Man,Mrs. Tweak,1
35,John,Realtor,19
36,John,Realtors,9
37,Realtor,Realtors,7
38,Chris,John,9
39,Hot Dog Owner,Realtor,1
40,Hot Dog Owner,Realtors,4
41,Hot Dog Owner,John,1
42,Cartman,City People,1
43,Jimbo,John,3
44,John,Mr. Adler,3
45,Harriet,John,6
46,Jimbo,Realtor,1
47,Mr. Adler,Realtor,1
48,Harriet,Realtor,2
49,Harriet,Liane,1
