,source,target,weight
0,Mr. Garrison,Wendy,1
1,Mr. Mackey,Wendy,6
2,Clyde,Wendy,1
3,Mr. Garrison,Mr. Mackey,6
4,Clyde,Mr. Garrison,1
5,Clyde,Mr. Mackey,6
6,Butters,Katie,1
7,Girls,Katie,1
8,Dressage Instructor,Katie,1
9,Butters,Girls,8
10,Butters,Dressage Instructor,1
11,Dressage Instructor,Girls,1
12,Dressage Instructor,Stephen,5
13,Linda,Stephen,41
14,Dressage Instructor,Linda,2
15,Mr. Mackey,PC Principal,42
16,Butters,Stephen,52
17,Butters,Linda,7
18,Girls,Stephen,7
19,Girls,Linda,1
20,Butters,Mr. Mackey,56
21,Mr. Mackey,Stephen,72
22,Linda,Mr. Mackey,27
23,Mr. Mackey,Mr. Mackey's Mom,44
24,Mr. Mackey,Norad Director,3
25,Norad Director,Norad Employees,3
26,Mr. Mackey,Norad Employees,1
27,Dressage Announcer,Stephen,2
28,Butters,Dressage Announcer,2
29,Crowd,Stephen,2
30,Davey Solokov,Stephen,2
31,Referee,Stephen,4
32,Butters,Crowd,1
33,Crowd,Davey Solokov,1
34,Crowd,Referee,2
35,Butters,Davey Solokov,1
36,Butters,Referee,2
37,Davey Solokov,Referee,2
