,source,target,weight
0,Gerald,Kyle,48
1,Airsoft Armory Salesman,Kyle,9
2,Airsoft Armory Salesman,Gerald,27
3,Airsoft Referee,Teenagers,5
4,Cartman,Teenagers,4
5,Airsoft Referee,Cartman,8
6,Cartman,Kyle,54
7,Cartman,Stan's Teenager,13
8,Cartman,Stan,68
9,Cartman,Kenny's Teenager,2
10,Cartman,Kenny,33
11,Kyle,Stan's Teenager,5
12,Kyle,Stan,50
13,Kenny's Teenager,Kyle,5
14,Kenny,Kyle,31
15,Stan,Stan's Teenager,157
16,Kenny's Teenager,Stan's Teenager,1
17,Kenny,Stan's Teenager,6
18,Kenny's Teenager,Stan,1
19,Kenny,Stan,39
20,Kenny,Kenny's Teenager,5
21,Kyle,Sheila,3
22,Gerald,Sheila,3
23,Kyle,Mother,6
24,Kyle,Trevor,20
25,Mother,Trevor,6
26,Cartman,Cartman's Teenager,27
27,Airsoft Referee,Stan's Teenager,2
28,Airsoft Referee,Stan,2
29,Cartman,Trevor,8
30,Cartman's Teenager,Kyle,8
31,Boys,Kenny,3
32,Boys,Kyle,6
33,Boys,Stan,5
34,Boys,Cartman,3
35,Cartman's Teenager,Stan,12
36,Cartman's Teenager,Kenny,5
37,Cartman's Teenager,Stan's Teenager,2
38,Randy,Stuart,5
39,Gerald,Randy,13
40,Airsoft Armory Salesman,Randy,9
41,Gerald,Stuart,5
42,Airsoft Armory Salesman,Stuart,3
43,Cartman,Gerald,4
44,Cartman,Stuart,7
45,Cartman,Randy,7
46,Cartman,Jimbo,7
47,Gerald,Stan,6
48,Stan,Stuart,8
49,Randy,Stan,8
50,Jimbo,Stan,8
51,Gerald,Stan's Teenager,2
52,Stan's Teenager,Stuart,2
53,Randy,Stan's Teenager,2
54,Jimbo,Stan's Teenager,2
55,Gerald,Kenny,2
56,Kenny,Stuart,3
57,Kenny,Randy,3
58,Jimbo,Kenny,3
59,Gerald,Jimbo,1
60,Kyle,Stuart,1
61,Jimbo,Stuart,2
62,Kyle,Randy,1
63,Jimbo,Kyle,1
64,Jimbo,Randy,2
65,Cartman's Teenager,Stuart,3
66,Stuart,Teenagers,1
67,Kenny,Teenagers,1
68,Cartman's Teenager,Jimbo,3
69,Jimbo,Teenagers,1
70,Cartman's Teenager,Randy,3
71,Cartman's Teenager,Teenagers,3
72,Stan,Teenagers,2
73,Randy,Teenagers,1
