,source,target,weight
0,Sharon,Stan,6
1,Randy,Stan,99
2,Randy,Sharon,12
3,Randy,Towelie,24
4,Randy,Steve,37
5,Butters,Linda,4
6,Linda,Stephen,2
7,Butters,Stephen,2
8,Butters,Kyle,3
9,Cartman,Kyle,1
10,Kelly-Ann,Kyle,1
11,Butters,Cartman,27
12,Butters,Kelly-Ann,3
13,Cartman,Kelly-Ann,1
14,Butters,Johnson,32
15,Johnson,Officer,33
16,Butters,Officer,80
17,Butters,Yates,13
18,Butters,Public Defender,90
19,Johnson,Randy,31
20,Johnson,Yates,1
21,Officer,Randy,85
22,Officer,Yates,1
23,Butters,Randy,94
24,Randy,Yates,8
25,Farty O'Cool,Steve,30
26,Farty O'Cool,Linda Black,10
27,Linda Black,Steve,15
28,Cartman,Officer,27
29,Cartman,Randy,27
30,Cartman,Stan,9
31,Cartman,Johnson,9
32,Cartman,Officers,15
33,Officer,Stan,27
34,Officer,Officers,45
35,Officers,Randy,45
36,Butters,Stan,24
37,Johnson,Stan,9
38,Officers,Stan,15
39,Butters,Officers,40
40,Johnson,Officers,15
41,Patron,Steve,1
42,Steve,Tom,1
43,Bill,Steve,1
44,Patron,Tom,1
45,Bill,Patron,1
46,Bill,Tom,1
47,Linda Black,Randy,4
48,Randy,Stevens,8
49,Steve,Stevens,6
50,Butters,Steve,3
51,Linda Black,Stevens,2
52,Butters,Linda Black,1
53,Butters,Stevens,2
54,Butters,Saint Patrick,24
55,Saint Patrick,Yates,16
56,Randy,Saint Patrick,16
