,source,target,weight
0,Cartman,Kyle,20509
1,Kyle,Stan,17212
2,Ike,Kyle,591
3,Cartman,Stan,16394
4,Cartman,Ike,209
5,Ike,Stan,98
6,Boys,Stan,185
7,Chef,Stan,1518
8,Boys,Kyle,162
9,Chef,Kyle,1430
10,Boys,Cartman,162
11,Cartman,Chef,1264
12,Boys,Chef,67
13,Boys,Ike,1
14,Chef,Ike,27
15,Ms. Crabtree,Stan,44
16,Kyle,Ms. Crabtree,59
17,Kenny,Kyle,2178
18,Kenny,Ms. Crabtree,7
19,Cartman,Ms. Crabtree,19
20,Farmer Carl,Officer Barbrady,3
21,Kyle,Mr. Hat,61
22,Mr. Hat,Stan,45
23,Mr. Garrison,Mr. Hat,91
24,Cartman,Mr. Hat,72
25,Kyle,Mr. Garrison,683
26,Mr. Garrison,Stan,628
27,Cartman,Mr. Garrison,937
28,Cartman,Jason,61
29,Jason,Stan,39
30,Jason,Kyle,34
31,Stan,Wendy,824
32,Cartman,Wendy,1267
33,Kyle,Wendy,511
34,Cartman,Kenny,2578
35,Kenny,Stan,2111
36,Cartman,Liane,2482
37,Mr. Kitty,News reporter,1
38,Cartman,Mr. Kitty,29
39,Kyle,Liane,271
40,Cows,Kyle,2
41,Cows,Ike,1
42,Cows,Visitor,3
43,Cartman,Cows,1
44,Cow,Cows,1
45,Kyle,Visitor,6
46,Cow,Kyle,5
47,Ike,Visitor,3
48,Cow,Ike,1
49,Cartman,Visitor,3
50,Cow,Visitor,3
51,Cartman,Cow,3
52,Mr. Garrison,Wendy,122
53,Mr. Hat,Wendy,10
54,Mayor McDaniels,Ted,18
55,Johnson,Ted,16
56,Johnson,Mayor McDaniels,38
57,Chef,Wendy,55
58,Kenny,Wendy,34
59,Chef,Kenny,135
60,Cartman,Mayor McDaniels,120
61,Mayor McDaniels,Mr. Garrison,33
62,Mayor McDaniels,Mr. Hat,3
63,Mayor McDaniels,Wendy,3
64,Beefcake,Cartman,35
65,Beefcake,TV Announcer,5
66,Beefcake,Liane,15
67,Cartman,TV Announcer,9
68,Liane,TV Announcer,3
69,Clyde,Mr. Garrison,37
70,Bebe,Mr. Garrison,29
71,Kyle,Townsman,11
72,Cartman,Townsman,20
73,Townsman,Wendy,1
74,Jimbo,Mr. Garrison,272
75,Mr. Garrison,Townswoman,3
76,Mr. Garrison,Officer Barbrady,53
77,Kathie Lee Gifford,Townswoman,1
78,Mayor McDaniels,Townswoman,1
79,Kathie Lee Gifford,Mr. Garrison,1
80,Kathie Lee Gifford,Mayor McDaniels,1
81,Chef,Mayor McDaniels,39
82,Officer Barbrady,Wendy,2
83,Cartman,TV Crew Director,2
84,TV Crew Director,Wendy,1
85,Mr. Hat,Officer Barbrady,7
86,Cartman,Geraldo,2
87,Cartman,Jimbo,591
88,Jimbo,Kyle,289
89,Jimbo,Stan,320
90,Liane,Stan,269
91,Jimbo,Liane,18
92,Jimbo,Kenny,17
93,Ned,Stan,29
94,Jimbo,Ned,279
95,Kyle,Ned,20
96,Cartman,Ned,68
97,Mayor McDaniels,Randy,144
98,Chef,Ted,1
99,Kenny,Ned,4
100,Mayor McDaniels,Newscaster,7
101,Chef,Newscaster,2
102,Chef,Officer Barbrady,13
103,Cartman,Newscaster,1
104,Cartman,Patrick Duffy,1
105,Kyle,Patrick Duffy,2
106,Jimbo,Patrick Duffy,3
107,Mayor McDaniels,Scuzzlebutt,2
108,Chef,Scuzzlebutt,1
109,Mr. Garrison,Scuzzlebutt,1
110,Officer Barbrady,Scuzzlebutt,1
111,Jimbo,Scuzzlebutt,1
112,Mayor McDaniels,Officer Barbrady,59
113,Jimbo,Mayor McDaniels,56
114,Chef,Mr. Garrison,104
115,Chef,Jimbo,107
116,Jimbo,Officer Barbrady,20
117,Liane,Randy,97
118,Liane,Mayor McDaniels,4
119,Denver citizens,Liane,1
120,Denver citizens,Randy,2
121,Denver citizens,Mayor McDaniels,1
122,Newscaster,Scuzzlebutt,2
123,Mayor McDaniels,Stan,83
124,Mayor McDaniels,Patrick Duffy,1
125,Kyle,Mayor McDaniels,76
126,Mayor McDaniels,Ned,2
127,Patrick Duffy,Stan,3
128,Ned,Patrick Duffy,1
129,Kyle,Sylvester,2
130,Stan,Sylvester,4
131,Cartman,Sylvester,3
132,Chef,Pip,31
133,Clyde,Kyle,558
134,Clyde,Stan,514
135,Cartman,Clyde,1007
136,Bill,Fosse,72
137,Cartman,Sparky,1
138,Sparky,Stan,6
139,Bill,Stan,185
140,Fosse,Stan,136
141,Bill,Cartman,103
142,Cartman,Fosse,74
143,Bookie,Jimbo,10
144,Bookie,Ned,4
145,Jesus,Robert,13
146,Robert,Stan,6
147,Jesus,Stan,373
148,Kyle,Pip,63
149,Carl,Jimbo,56
150,Carl,Ned,24
151,Chef,Frank,6
152,Chef,Mr. Hat,2
153,Frank,Kyle,45
154,Frank,Mr. Garrison,4
155,Frank,Mr. Hat,2
156,Frank,Jimbo,7
157,Jimbo,Mr. Hat,1
158,Big Gay Al,Stan,67
159,Gay Lion,Stan,4
160,Big Gay Al,Gay Lion,5
161,Cartman,Frank,1
162,Kyle,Phil,1
163,Frank,Phil,2
164,Chef,Phil,1
165,Jimbo,Richard,25
166,Mr. Garrison,Richard,65
